income_k,debt_ratio,credit_score,employment_years,existing_loans,home_ownership,marital_status,application_channel,approved
15.9,0.144,640.0,6.7,0,rent,married,web,approved
23.92,0.354,765.0,11.1,2,mortgage,married,web,approved
31.77,0.304,629.0,6.4,2,rent,single,branch,approved
13.44,0.334,700.0,2.5,3,rent,married,web,approved
35.84,0.304,684.0,4.7,3,rent,married,web,approved
9.33,0.327,693.0,3.6,1,rent,married,web,approved
21.53,0.396,772.0,7.3,1,rent,single,partner,approved
16.88,0.205,592.0,1.8,1,own,married,web,approved
26.95,0.271,680.0,3.3,0,mortgage,married,web,approved
36.13,0.072,596.0,10.1,0,mortgage,single,partner,approved
13.16,0.171,667.0,11.6,1,mortgage,married,branch,rejected
26.77,0.276,705.0,6.7,2,rent,single,web,approved
22.31,0.321,625.0,6.5,1,rent,married,branch,rejected
21.12,0.425,607.0,5.4,1,rent,married,web,approved
22.06,0.359,683.0,1.7,0,rent,single,web,approved
36.0,0.129,577.0,4.8,3,mortgage,married,web,approved
21.12,0.331,624.0,12.8,3,rent,married,web,approved
18.63,0.637,683.0,8.7,2,rent,single,web,approved
18.1,0.425,720.0,0.0,3,rent,married,partner,approved
22.1,0.212,546.0,0.0,0,rent,single,branch,approved
14.78,0.364,758.0,0.4,2,mortgage,single,partner,approved
21.41,0.116,645.0,11.0,1,mortgage,single,partner,approved
3.0,0.379,495.0,16.3,3,mortgage,married,branch,rejected
23.21,0.229,685.0,6.2,1,own,single,branch,approved
20.95,0.458,593.0,8.1,0,own,married,web,approved
29.68,0.414,659.0,5.2,1,mortgage,married,web,approved
23.17,0.323,696.0,9.7,2,mortgage,married,web,approved
22.08,0.301,728.0,11.3,4,mortgage,single,web,approved
22.15,0.337,614.0,2.1,1,own,married,web,approved
31.18,0.427,797.0,3.3,2,own,married,web,approved
5.35,0.268,770.0,3.9,0,rent,married,partner,approved
7.49,0.211,695.0,3.7,1,mortgage,married,web,approved
19.74,0.135,596.0,5.5,0,rent,single,branch,approved
23.29,0.466,715.0,3.7,2,mortgage,married,web,rejected
34.77,0.178,596.0,9.9,2,own,single,branch,approved
18.61,0.307,615.0,7.8,2,mortgage,single,web,approved
18.08,0.663,729.0,6.2,0,own,single,branch,approved
18.51,0.23,760.0,10.4,2,rent,married,web,approved
7.42,0.305,597.0,2.5,3,rent,single,partner,approved
27.81,0.323,563.0,7.3,2,rent,married,partner,approved
10.68,0.537,636.0,8.1,1,rent,married,branch,approved
22.75,0.435,729.0,0.3,1,rent,single,branch,approved
29.22,0.412,725.0,7.7,3,mortgage,married,partner,approved
26.92,0.02,706.0,5.1,3,rent,married,branch,approved
11.25,0.457,704.0,8.6,1,mortgage,married,branch,approved
17.25,0.396,518.0,6.7,2,mortgage,married,branch,approved
24.13,0.438,481.0,1.0,3,own,single,partner,approved
8.73,0.63,632.0,1.6,0,mortgage,married,web,approved
21.5,0.259,681.0,5.6,4,mortgage,married,web,approved
12.55,0.414,762.0,0.9,2,rent,married,web,approved
25.64,0.395,714.0,2.7,2,rent,single,branch,approved
8.49,0.28,585.0,5.7,0,rent,single,branch,approved
14.81,0.479,690.0,9.5,1,mortgage,single,web,approved
11.78,0.456,605.0,4.7,3,rent,single,partner,approved
11.31,0.468,582.0,3.8,0,mortgage,married,web,approved
33.16,0.266,634.0,0.0,5,rent,single,web,approved
18.7,0.214,760.0,13.4,2,rent,single,branch,approved
23.87,0.342,646.0,3.8,4,mortgage,married,web,approved
25.22,0.32,696.0,3.8,1,mortgage,married,web,approved
8.49,0.168,730.0,4.9,2,mortgage,single,branch,approved
7.16,0.169,681.0,8.1,0,mortgage,married,web,approved
20.27,0.508,640.0,9.6,3,own,single,web,approved
22.96,0.277,705.0,16.3,1,rent,married,web,approved
14.93,0.328,619.0,3.7,0,rent,married,web,approved
16.15,0.375,655.0,0.0,1,own,married,web,approved
15.34,0.334,690.0,8.9,2,rent,single,branch,approved
18.08,0.427,637.0,10.0,5,mortgage,married,web,approved
18.64,0.02,579.0,8.7,2,mortgage,married,branch,approved
21.27,0.297,562.0,5.3,0,rent,married,partner,approved
21.46,0.445,702.0,12.4,1,rent,single,branch,approved
9.06,0.226,691.0,10.4,3,own,married,branch,approved
16.21,0.536,695.0,5.5,2,rent,married,web,approved
22.12,0.531,537.0,9.1,5,rent,married,partner,approved
23.86,0.368,731.0,5.6,2,own,single,web,approved
22.34,0.245,709.0,5.9,2,rent,single,web,approved
7.13,0.317,687.0,4.2,2,mortgage,married,web,approved
12.29,0.478,619.0,0.0,2,mortgage,single,web,approved
21.77,0.185,675.0,12.5,1,mortgage,married,branch,approved
28.61,0.349,756.0,7.0,0,rent,single,web,approved
25.53,0.336,782.0,4.2,3,rent,married,partner,approved
14.01,0.193,632.0,2.8,2,mortgage,married,partner,approved
13.61,0.107,649.0,12.7,1,mortgage,single,branch,approved
23.13,0.341,695.0,8.2,4,rent,married,branch,approved
23.88,0.235,686.0,7.2,3,rent,married,web,approved
18.02,0.143,645.0,9.0,3,rent,single,web,approved
29.16,0.264,606.0,0.0,1,mortgage,single,branch,approved
13.12,0.221,661.0,0.0,1,rent,married,web,approved
13.85,0.603,655.0,0.0,2,mortgage,single,partner,approved
22.62,0.273,581.0,5.5,2,mortgage,single,partner,approved
14.43,0.315,732.0,5.4,2,rent,single,web,approved
21.22,0.321,751.0,9.3,3,rent,single,web,approved
12.7,0.38,563.0,7.3,0,rent,married,partner,rejected
23.25,0.257,739.0,11.0,2,rent,married,partner,approved
21.34,0.863,639.0,5.5,0,mortgage,married,branch,approved
20.71,0.344,669.0,8.0,4,rent,married,partner,approved
6.56,0.13,637.0,15.3,3,mortgage,single,web,approved
32.48,0.02,690.0,11.4,1,mortgage,single,partner,approved
22.55,0.408,663.0,13.0,3,mortgage,single,partner,approved
13.73,0.441,625.0,2.6,2,own,single,web,approved
19.1,0.356,554.0,3.8,1,rent,single,partner,approved
14.32,0.148,820.0,13.3,0,own,married,branch,approved
35.13,0.147,549.0,8.6,2,mortgage,married,branch,approved
9.69,0.393,608.0,8.6,2,rent,married,web,approved
17.91,0.381,562.0,7.0,2,mortgage,single,web,approved
17.02,0.805,677.0,8.2,1,rent,married,web,approved
6.96,0.236,615.0,2.1,2,mortgage,married,branch,rejected
19.86,0.351,621.0,0.7,1,mortgage,married,branch,approved
16.23,0.462,634.0,2.8,2,own,single,web,approved
4.43,0.461,594.0,11.6,2,own,married,branch,approved
25.85,0.276,755.0,1.7,1,rent,single,partner,approved
21.93,0.284,622.0,2.4,3,rent,married,partner,rejected
20.43,0.404,713.0,8.8,2,rent,married,partner,rejected
20.62,0.333,655.0,4.1,1,rent,married,web,approved
24.26,0.061,631.0,6.2,2,mortgage,married,branch,approved
27.27,0.066,591.0,9.1,0,rent,married,web,approved
18.52,0.419,700.0,9.6,0,mortgage,single,web,approved
25.52,0.17,565.0,6.8,1,mortgage,married,web,approved
20.15,0.455,658.0,14.1,2,mortgage,married,partner,approved
7.19,0.585,633.0,5.4,2,rent,married,web,approved
10.38,0.378,641.0,10.3,0,rent,single,branch,rejected
23.42,0.674,566.0,11.5,3,mortgage,single,web,approved
22.2,0.432,665.0,4.8,0,rent,single,branch,approved
27.6,0.496,587.0,4.9,1,rent,married,web,approved
11.52,0.371,639.0,1.9,3,mortgage,single,partner,approved
3.0,0.695,533.0,3.7,1,mortgage,married,partner,rejected
11.0,0.242,597.0,3.3,1,rent,single,partner,approved
21.49,0.229,679.0,0.9,0,own,single,branch,approved
14.05,0.527,789.0,1.8,1,rent,single,web,approved
19.1,0.294,522.0,8.3,0,mortgage,married,web,approved
12.35,0.213,792.0,3.1,1,rent,married,web,approved
11.34,0.409,589.0,7.6,3,rent,married,branch,approved
17.91,0.291,572.0,9.8,1,rent,married,branch,approved
19.89,0.337,662.0,8.0,0,rent,married,branch,approved
18.98,0.548,646.0,5.6,2,rent,married,branch,approved
11.93,0.503,550.0,4.1,0,own,single,web,approved
24.38,0.464,649.0,8.0,0,rent,single,web,approved
23.4,0.514,789.0,4.1,2,rent,married,web,approved
10.95,0.201,683.0,4.9,0,rent,married,branch,approved
14.71,0.338,708.0,12.0,2,mortgage,single,web,approved
29.8,0.285,593.0,6.5,1,rent,single,web,approved
20.42,0.395,615.0,3.6,2,rent,single,partner,approved
15.96,0.478,587.0,11.3,1,rent,single,web,approved
14.11,0.4,576.0,2.4,0,rent,married,branch,approved
15.18,0.39,592.0,3.4,1,mortgage,married,web,rejected
3.0,0.02,612.0,9.6,2,rent,married,web,approved
29.68,0.337,651.0,4.0,0,mortgage,single,branch,approved
10.32,0.3,610.0,7.8,2,rent,single,partner,approved
24.2,0.483,618.0,6.8,2,rent,married,web,approved
30.86,0.273,533.0,4.6,1,mortgage,married,branch,approved
28.1,0.371,566.0,6.2,0,rent,single,web,approved
17.51,0.148,616.0,7.8,1,rent,single,web,rejected
28.16,0.35,555.0,4.1,0,mortgage,married,web,approved
20.25,0.749,703.0,10.7,1,mortgage,single,partner,approved
16.24,0.223,609.0,12.0,0,mortgage,single,web,approved
27.43,0.666,753.0,16.3,1,own,married,partner,approved
17.52,0.622,659.0,0.0,1,rent,married,web,approved
27.34,0.252,685.0,3.9,2,rent,married,partner,rejected
14.27,0.086,662.0,11.7,1,rent,married,web,approved
10.54,0.045,719.0,8.6,0,own,married,web,approved
28.18,0.592,670.0,5.5,1,rent,single,partner,approved
19.46,0.098,737.0,5.4,0,own,single,branch,approved
3.93,0.421,553.0,4.1,3,own,married,web,rejected
16.69,0.263,650.0,9.3,1,rent,single,web,approved
24.95,0.58,558.0,11.0,3,mortgage,single,web,approved
24.4,0.097,771.0,4.8,4,mortgage,married,partner,approved
17.47,0.236,619.0,4.1,1,mortgage,single,web,approved
27.09,0.645,589.0,9.4,2,own,single,partner,approved
14.18,0.379,787.0,6.5,0,rent,married,branch,approved
4.65,0.472,796.0,9.3,1,rent,married,partner,approved
16.87,0.553,663.0,0.1,1,mortgage,married,web,approved
17.71,0.672,694.0,11.5,0,rent,married,web,approved
19.79,0.577,712.0,9.9,0,own,single,branch,approved
23.68,0.179,558.0,8.8,1,mortgage,single,web,approved
17.13,0.39,637.0,4.7,3,rent,married,partner,approved
10.43,0.413,471.0,5.7,1,rent,married,web,approved
30.03,0.315,629.0,6.2,2,rent,single,web,approved
3.0,0.134,730.0,10.9,1,rent,single,partner,approved
10.69,0.378,609.0,10.4,2,rent,married,branch,approved
7.01,0.522,648.0,2.9,0,rent,married,web,rejected
29.48,0.126,615.0,6.6,1,own,single,branch,approved
20.22,0.539,705.0,14.1,0,mortgage,married,branch,approved
20.67,0.02,683.0,11.9,0,own,married,web,approved
22.09,0.387,599.0,0.0,2,mortgage,single,web,approved
8.9,0.331,689.0,6.2,1,rent,single,web,approved
29.46,0.284,578.0,0.0,3,mortgage,married,web,approved
7.18,0.402,780.0,7.1,2,mortgage,single,web,approved
14.76,0.232,648.0,5.5,0,mortgage,married,branch,approved
17.88,0.401,640.0,4.8,1,rent,single,branch,approved
14.23,0.177,639.0,6.3,0,rent,single,branch,approved
16.42,0.401,690.0,4.6,0,mortgage,single,web,approved
29.6,0.63,565.0,10.2,2,own,single,partner,approved
24.89,0.394,611.0,9.5,1,rent,married,web,approved
17.28,0.152,739.0,9.6,0,rent,single,partner,approved
13.7,0.186,698.0,4.2,4,mortgage,single,web,approved
10.1,0.461,725.0,6.4,1,rent,married,web,approved
28.26,0.306,723.0,8.7,2,rent,married,web,approved
19.5,0.289,703.0,8.5,1,rent,single,branch,approved
24.14,0.667,577.0,4.4,2,mortgage,married,web,approved
23.37,0.266,642.0,3.7,2,mortgage,married,web,approved
6.93,0.449,716.0,7.8,1,rent,married,branch,approved
18.03,0.322,522.0,0.0,4,rent,single,branch,rejected
3.0,0.394,690.0,1.8,1,own,married,web,approved
19.0,0.456,599.0,5.5,2,mortgage,single,web,approved
10.24,0.131,681.0,5.4,2,rent,single,branch,approved
18.42,0.416,634.0,10.7,2,mortgage,married,branch,approved
15.92,0.252,750.0,5.8,1,own,single,branch,approved
3.0,0.265,567.0,3.9,2,rent,single,web,approved
42.34,0.414,667.0,6.2,1,rent,single,web,approved
14.06,0.349,610.0,5.3,0,mortgage,single,branch,approved
26.2,0.579,640.0,1.0,1,mortgage,single,branch,approved
24.13,0.415,678.0,10.0,2,rent,married,branch,approved
19.74,0.334,767.0,0.0,2,rent,married,branch,approved
31.44,0.419,719.0,6.5,3,rent,single,web,approved
31.42,0.396,679.0,8.2,4,own,married,branch,approved
23.72,0.528,700.0,7.1,2,rent,married,branch,approved
22.6,0.104,752.0,14.3,1,rent,married,branch,approved
18.59,0.601,720.0,9.7,0,own,married,branch,approved
14.05,0.442,634.0,6.8,1,mortgage,single,web,approved
26.33,0.155,654.0,11.9,0,mortgage,married,partner,approved
24.82,0.384,610.0,3.6,1,rent,married,web,approved
25.05,0.297,717.0,9.4,1,rent,single,branch,approved
22.52,0.154,602.0,3.6,2,rent,single,partner,approved
18.19,0.196,739.0,3.4,0,rent,married,web,approved
17.63,0.214,665.0,7.2,3,rent,single,partner,approved
35.76,0.197,704.0,0.0,0,rent,married,web,approved
6.13,0.41,648.0,3.9,0,rent,single,partner,approved
21.9,0.086,721.0,0.0,3,rent,married,partner,approved
24.48,0.172,782.0,0.0,3,mortgage,married,branch,rejected
28.77,0.303,703.0,5.2,1,own,married,web,approved
24.18,0.267,721.0,8.7,0,mortgage,married,partner,approved
14.39,0.247,602.0,3.3,2,mortgage,married,branch,approved
22.95,0.231,679.0,7.1,3,rent,single,partner,approved
34.85,0.365,722.0,3.7,0,mortgage,single,branch,approved
34.63,0.266,754.0,4.9,0,own,single,branch,approved
18.01,0.255,556.0,5.9,2,rent,married,web,rejected
23.02,0.279,656.0,7.0,0,rent,married,web,approved
18.65,0.493,711.0,7.5,1,rent,married,branch,approved
10.7,0.14,738.0,3.5,1,mortgage,married,web,approved
28.49,0.28,549.0,5.2,1,mortgage,single,partner,rejected
21.7,0.414,580.0,5.1,0,mortgage,single,branch,rejected
17.86,0.212,625.0,3.3,1,own,single,branch,approved
11.3,0.096,675.0,4.1,2,mortgage,single,partner,approved
31.96,0.077,590.0,4.3,0,rent,married,partner,approved
16.94,0.361,545.0,8.6,2,rent,single,web,rejected
14.69,0.408,647.0,7.6,0,mortgage,married,web,approved
15.27,0.333,684.0,5.9,2,rent,single,branch,approved
23.29,0.225,561.0,6.6,0,mortgage,married,web,approved
10.69,0.185,572.0,8.0,1,rent,married,web,approved
32.9,0.287,593.0,5.6,1,own,married,partner,approved
38.52,0.401,601.0,7.8,1,rent,single,web,approved
19.44,0.02,646.0,0.7,1,rent,married,partner,approved
31.89,0.512,708.0,10.1,0,rent,married,branch,approved
24.0,0.065,580.0,6.0,2,rent,single,web,approved
22.48,0.21,611.0,6.9,0,own,married,web,approved
19.2,0.304,640.0,9.0,2,rent,married,branch,approved
27.81,0.163,820.0,2.4,2,rent,married,partner,approved
19.38,0.253,611.0,7.1,1,rent,single,web,approved
22.83,0.286,483.0,9.4,1,mortgage,single,web,approved
19.1,0.237,629.0,9.3,0,rent,married,web,approved
22.5,0.302,653.0,3.6,3,rent,married,web,approved
30.78,0.527,723.0,7.9,4,rent,married,partner,approved
24.88,0.577,715.0,6.0,3,mortgage,single,branch,approved
17.77,0.515,603.0,1.5,0,own,single,branch,rejected
23.48,0.255,699.0,8.4,2,own,married,web,approved
25.06,0.325,695.0,8.4,0,rent,single,web,approved
15.6,0.212,624.0,5.0,1,rent,married,web,approved
13.44,0.383,746.0,2.0,2,rent,married,partner,approved
31.55,0.396,578.0,8.3,0,rent,married,branch,approved
12.14,0.26,587.0,9.6,1,mortgage,single,web,approved
24.58,0.262,547.0,0.0,2,rent,single,branch,approved
23.94,0.342,548.0,8.4,1,mortgage,married,branch,approved
21.91,0.206,663.0,5.6,0,rent,married,web,approved
9.13,0.152,610.0,6.7,2,own,married,web,approved
18.16,0.286,667.0,10.7,1,mortgage,single,web,approved
10.12,0.124,490.0,0.0,0,mortgage,single,web,approved
23.52,0.502,503.0,6.3,1,mortgage,married,branch,approved
26.1,0.396,554.0,1.5,2,rent,married,web,approved
23.82,0.326,608.0,11.7,0,mortgage,married,web,approved
33.81,0.427,565.0,2.4,1,own,married,branch,approved
26.2,0.164,734.0,8.1,0,rent,single,branch,approved
17.7,0.299,554.0,9.6,2,mortgage,married,web,approved
14.51,0.097,682.0,7.5,0,rent,married,partner,approved
20.39,0.037,655.0,7.7,1,mortgage,single,web,approved
22.31,0.303,783.0,5.3,2,mortgage,married,branch,approved
39.32,0.506,690.0,9.8,2,mortgage,married,web,approved
22.21,0.354,645.0,10.6,2,own,married,web,approved
19.43,0.12,712.0,0.0,2,mortgage,single,branch,approved
13.13,0.175,653.0,2.9,4,rent,married,web,rejected
21.38,0.039,644.0,2.1,0,mortgage,single,branch,approved
13.38,0.171,639.0,8.4,1,own,single,web,approved
18.51,0.197,690.0,11.5,1,rent,single,partner,approved
15.32,0.02,610.0,3.6,2,rent,single,web,approved
20.03,0.246,711.0,5.8,0,mortgage,single,branch,approved
21.77,0.333,676.0,9.1,3,mortgage,married,branch,approved
21.07,0.356,616.0,11.3,1,rent,single,web,approved
13.51,0.266,562.0,2.7,0,own,single,web,approved
12.26,0.171,689.0,2.5,2,rent,single,web,approved
7.73,0.263,735.0,2.6,1,mortgage,single,partner,approved
27.94,0.219,745.0,7.2,2,rent,married,web,approved
15.55,0.542,736.0,7.0,1,own,married,web,approved
11.72,0.208,647.0,6.6,0,own,single,branch,approved
31.54,0.706,661.0,5.7,0,rent,married,partner,approved
24.52,0.105,688.0,9.8,2,mortgage,married,web,approved
18.33,0.198,727.0,10.1,1,rent,single,web,approved
24.8,0.482,703.0,5.1,2,mortgage,single,branch,approved
14.68,0.337,599.0,3.9,1,rent,single,branch,approved
23.17,0.522,623.0,9.6,2,own,single,partner,approved
22.87,0.466,592.0,4.8,2,rent,married,web,approved
19.05,0.269,560.0,7.8,1,mortgage,married,web,approved
11.77,0.296,623.0,8.0,1,mortgage,single,partner,approved
25.38,0.599,602.0,2.0,2,rent,single,web,approved
11.68,0.02,581.0,2.3,2,rent,married,web,approved
27.93,0.244,546.0,0.0,1,rent,single,branch,approved
9.98,0.57,731.0,1.6,4,rent,single,web,approved
16.07,0.097,697.0,7.7,3,rent,single,web,approved
18.29,0.597,583.0,6.8,2,rent,married,branch,approved
15.66,0.496,713.0,6.0,0,rent,single,partner,approved
15.55,0.473,655.0,0.0,0,mortgage,married,web,approved
8.91,0.461,655.0,4.8,1,rent,single,web,approved
12.23,0.251,548.0,3.1,3,rent,single,branch,approved
8.7,0.205,665.0,9.7,0,mortgage,single,web,approved
25.35,0.41,602.0,4.5,0,rent,married,partner,approved
5.56,0.121,579.0,10.2,1,rent,single,web,approved
12.48,0.04,595.0,7.9,1,own,single,web,approved
17.88,0.3,651.0,0.0,1,rent,single,branch,approved
15.32,0.449,676.0,3.6,2,rent,married,partner,approved
18.36,0.598,636.0,0.0,1,mortgage,married,web,approved
3.53,0.298,582.0,3.8,2,rent,single,web,approved
24.23,0.73,531.0,0.8,2,mortgage,single,web,approved
29.2,0.509,669.0,3.3,3,mortgage,married,web,approved
10.14,0.229,543.0,5.1,2,mortgage,married,web,approved
18.27,0.161,705.0,3.4,0,rent,single,web,approved
15.03,0.419,697.0,13.4,1,mortgage,single,partner,approved
20.86,0.488,622.0,2.8,2,mortgage,married,branch,approved
31.28,0.578,618.0,3.2,1,own,single,branch,approved
14.4,0.138,712.0,3.6,2,rent,married,partner,approved
21.82,0.391,616.0,7.0,1,rent,married,branch,approved
18.41,0.483,594.0,10.2,2,mortgage,married,partner,approved
17.15,0.199,704.0,9.2,3,rent,single,partner,approved
26.53,0.159,585.0,7.6,0,mortgage,married,partner,approved
20.67,0.494,677.0,4.8,1,mortgage,married,web,approved
21.99,0.022,644.0,0.0,3,mortgage,married,web,rejected
21.68,0.214,717.0,11.8,5,rent,married,branch,approved
12.62,0.069,596.0,9.2,0,mortgage,married,web,approved
20.49,0.377,644.0,11.3,1,own,single,web,approved
17.27,0.02,559.0,10.0,2,mortgage,married,web,approved
17.38,0.112,686.0,9.7,0,rent,married,branch,approved
21.59,0.333,558.0,10.3,1,own,single,web,approved
13.24,0.44,642.0,0.0,3,mortgage,single,web,rejected
17.96,0.307,529.0,4.1,0,mortgage,married,branch,approved
26.04,0.473,566.0,8.6,2,own,single,web,approved
22.47,0.038,719.0,5.2,2,mortgage,single,web,approved
13.07,0.31,563.0,10.1,2,mortgage,married,partner,approved
22.14,0.538,699.0,1.9,1,rent,married,branch,rejected
31.58,0.097,698.0,2.6,1,mortgage,single,branch,approved
23.94,0.088,694.0,15.2,2,rent,married,web,approved
17.27,0.14,647.0,11.6,4,own,single,branch,approved
19.82,0.27,511.0,8.8,0,mortgage,single,web,rejected
29.75,0.261,634.0,2.7,0,rent,single,web,approved
16.87,0.418,542.0,4.7,3,rent,married,branch,approved
19.33,0.166,496.0,2.8,2,mortgage,married,branch,approved
7.42,0.369,685.0,12.4,2,rent,single,partner,approved
4.08,0.232,599.0,3.8,3,rent,married,branch,approved
7.55,0.564,807.0,0.0,2,mortgage,single,partner,approved
16.85,0.379,758.0,4.7,0,mortgage,married,partner,approved
24.74,0.02,624.0,0.8,0,mortgage,single,web,approved
28.03,0.57,746.0,2.6,1,rent,single,branch,approved
23.98,0.211,674.0,9.7,2,mortgage,married,web,approved
16.1,0.271,690.0,0.0,1,mortgage,married,web,approved
13.29,0.204,599.0,0.7,0,rent,single,branch,approved
14.71,0.548,627.0,12.4,2,mortgage,married,web,approved
18.6,0.425,820.0,9.9,2,mortgage,married,web,approved
15.09,0.428,535.0,4.8,2,own,married,web,approved
25.15,0.281,546.0,7.7,1,mortgage,married,web,approved
19.99,0.065,549.0,8.3,2,mortgage,single,web,approved
19.76,0.471,541.0,3.3,1,rent,married,partner,rejected
21.6,0.462,708.0,2.1,1,mortgage,married,branch,approved
11.33,0.257,627.0,6.2,2,rent,married,partner,approved
23.31,0.23,609.0,10.4,2,mortgage,single,web,approved
17.24,0.382,648.0,7.5,0,own,single,partner,approved
26.8,0.35,649.0,0.0,0,rent,married,branch,approved
18.13,0.465,655.0,4.0,2,own,married,branch,approved
25.23,0.452,600.0,4.1,0,own,married,web,approved
13.92,0.676,654.0,3.2,2,mortgage,single,branch,rejected
4.64,0.362,532.0,4.6,1,rent,married,branch,approved
22.67,0.603,617.0,15.8,0,rent,married,branch,approved
30.38,0.59,630.0,0.7,2,mortgage,married,web,approved
36.13,0.209,623.0,7.6,3,rent,single,web,approved
24.66,0.518,796.0,2.2,3,rent,single,partner,approved
29.62,0.064,637.0,9.8,1,own,married,branch,approved
22.98,0.373,750.0,10.0,1,mortgage,single,partner,approved
29.83,0.435,533.0,8.1,0,own,single,web,approved
27.99,0.578,759.0,0.0,2,mortgage,married,web,approved
12.11,0.424,704.0,7.3,1,own,single,branch,rejected
26.02,0.145,673.0,13.3,0,mortgage,single,branch,approved
12.28,0.281,535.0,12.8,3,own,single,web,approved
24.65,0.343,655.0,7.0,1,rent,single,branch,approved
3.0,0.362,592.0,8.2,1,mortgage,single,partner,approved
19.61,0.213,621.0,1.3,2,mortgage,married,branch,approved
21.48,0.3,820.0,4.0,1,rent,married,partner,approved
21.84,0.336,729.0,9.9,2,rent,single,web,approved
23.84,0.169,619.0,7.4,1,rent,married,web,approved
3.74,0.305,694.0,0.0,2,rent,single,web,approved
12.5,0.344,667.0,4.8,2,rent,married,branch,approved
23.87,0.303,600.0,4.5,2,rent,single,web,approved
22.01,0.52,657.0,7.0,2,rent,married,partner,approved
22.61,0.355,570.0,8.2,2,mortgage,single,partner,approved
32.8,0.184,639.0,7.8,1,rent,married,branch,approved
21.2,0.038,682.0,8.1,0,mortgage,single,branch,approved
23.4,0.326,556.0,4.3,2,rent,married,branch,approved
25.57,0.232,567.0,3.8,1,rent,single,branch,approved
15.11,0.202,766.0,1.1,1,rent,married,branch,approved
14.17,0.094,566.0,2.2,2,rent,married,web,approved
12.68,0.437,588.0,6.8,2,own,single,web,approved
17.64,0.425,676.0,12.4,3,rent,single,partner,approved
19.03,0.69,656.0,8.2,0,own,married,branch,approved
20.42,0.58,611.0,7.3,3,rent,single,branch,approved
6.8,0.337,705.0,1.0,3,own,married,partner,approved
16.15,0.702,780.0,7.6,0,mortgage,single,web,approved
28.11,0.202,754.0,2.4,2,mortgage,married,branch,approved
8.25,0.302,553.0,9.5,0,mortgage,single,web,approved
25.37,0.328,667.0,9.9,2,mortgage,single,branch,approved
24.17,0.396,665.0,16.5,0,own,married,web,approved
9.68,0.413,597.0,10.9,1,rent,married,partner,approved
12.97,0.368,641.0,8.4,0,mortgage,married,web,approved
27.15,0.409,807.0,7.9,0,mortgage,married,branch,approved
12.22,0.384,679.0,4.0,0,mortgage,single,partner,approved
10.99,0.282,604.0,6.8,2,mortgage,married,branch,approved
3.0,0.382,684.0,8.5,1,own,married,branch,approved
32.81,0.09,666.0,7.9,2,rent,single,partner,approved
9.82,0.453,602.0,11.4,1,mortgage,single,web,approved
18.89,0.083,596.0,13.5,0,rent,married,web,approved
20.42,0.44,712.0,6.6,2,rent,single,branch,approved
14.97,0.198,605.0,9.2,1,mortgage,single,web,approved
21.38,0.43,663.0,1.2,0,rent,single,web,approved
14.75,0.304,579.0,10.7,1,mortgage,single,web,approved
13.38,0.187,690.0,2.9,0,rent,married,web,approved
16.8,0.239,670.0,19.7,3,rent,single,web,approved
25.44,0.218,696.0,4.2,0,rent,married,branch,approved
25.41,0.193,721.0,6.4,1,mortgage,single,branch,approved
21.14,0.739,631.0,5.5,1,rent,married,web,approved
22.78,0.423,586.0,4.0,3,rent,single,branch,approved
29.42,0.348,629.0,13.5,1,rent,single,partner,approved
29.01,0.199,629.0,11.6,1,own,married,branch,approved
30.45,0.312,599.0,3.9,0,mortgage,single,web,approved
25.95,0.24,632.0,9.1,0,mortgage,single,web,approved
10.68,0.456,573.0,10.9,1,own,single,web,approved
17.26,0.523,678.0,5.0,2,rent,single,branch,approved
32.16,0.227,767.0,10.4,2,mortgage,single,web,approved
15.53,0.379,744.0,9.0,0,own,married,branch,approved
27.04,0.309,691.0,0.0,2,own,single,branch,approved
20.17,0.092,820.0,0.0,4,mortgage,married,web,approved
15.28,0.314,661.0,4.2,4,rent,single,web,approved
14.16,0.205,498.0,0.0,2,mortgage,married,branch,rejected
21.07,0.23,628.0,10.7,0,own,married,branch,approved
27.13,0.517,686.0,3.0,0,own,married,web,approved
20.24,0.28,526.0,8.4,1,rent,single,branch,approved
21.09,0.184,482.0,8.5,1,rent,single,web,approved
12.82,0.446,582.0,8.4,2,own,married,branch,rejected
11.48,0.583,698.0,3.1,2,rent,married,branch,approved
23.1,0.253,681.0,6.6,0,mortgage,married,partner,approved
9.18,0.414,578.0,3.9,0,rent,single,partner,rejected
23.87,0.205,567.0,11.5,2,own,married,partner,approved
17.01,0.571,692.0,9.5,0,rent,married,branch,approved
15.82,0.564,608.0,2.5,2,rent,single,web,approved
22.46,0.442,567.0,3.4,3,mortgage,single,web,approved
32.56,0.124,707.0,8.4,3,rent,married,web,approved
14.29,0.319,646.0,5.2,3,rent,single,web,approved
19.08,0.106,687.0,9.9,1,mortgage,married,web,approved
24.7,0.706,451.0,5.2,1,own,single,web,approved
26.7,0.114,616.0,0.0,1,rent,single,branch,approved
20.0,0.464,530.0,6.4,1,mortgage,married,branch,approved
12.56,0.453,672.0,6.5,2,mortgage,married,partner,approved
30.09,0.367,699.0,1.6,0,own,married,web,approved
32.23,0.245,622.0,9.9,0,mortgage,married,web,approved
14.73,0.247,669.0,6.4,2,own,single,web,approved
21.29,0.303,666.0,11.2,0,rent,married,web,approved
22.15,0.482,620.0,2.5,0,own,married,web,rejected
