hidden_segment,age,income_k,monthly_visits,avg_spend,online_ratio,coupon_usage,return_rate
premium,47.2905,41.0478,8.9309,659.5352,0.7449,0.0,0.0988
digital,33.013,23.2914,4.8723,256.8278,0.8324,0.1978,0.1702
price_sensitive,21.8422,16.6429,6.3591,150.1939,0.3786,0.6618,0.0857
family,37.1241,19.6061,6.6189,356.0459,0.2701,0.4461,0.0953
digital,27.9474,22.2172,9.4689,116.4344,0.7143,0.2717,0.1254
family,39.0733,12.3808,9.0212,327.08,0.5687,0.557,0.0753
family,42.0169,20.2264,9.7987,338.7061,0.281,0.3441,0.0512
premium,37.5722,10.8424,5.1542,696.5691,0.3571,0.2381,0.0716
premium,48.6801,30.9375,6.598,632.0093,0.7377,0.0,0.1455
family,36.5182,17.2365,8.6121,397.3394,0.478,0.418,0.0705
digital,18.0,12.5743,7.749,240.5407,0.8696,0.2877,0.1224
family,37.9305,23.363,6.1422,389.0918,0.2596,0.1498,0.0575
family,28.5828,11.5369,7.1551,347.5461,0.4475,0.4001,0.0663
family,36.0633,18.4931,7.0405,250.07,0.2557,0.2838,0.0167
digital,19.9618,22.1625,7.716,237.3004,0.842,0.1152,0.0834
premium,45.4642,11.1076,6.3254,590.7068,0.6613,0.1633,0.0595
digital,24.8495,19.4945,6.5611,202.087,0.7216,0.2305,0.1139
premium,42.0077,41.6208,6.0831,685.63,0.5471,0.1193,0.0865
premium,44.5549,32.7574,6.3596,408.2634,0.4495,0.2597,0.1289
digital,32.4436,16.1844,7.154,133.7023,0.7036,0.2034,0.1534
digital,37.1995,17.8707,12.1853,237.6711,0.8254,0.2283,0.1004
premium,42.7333,30.3314,4.8136,577.8485,0.5857,0.0726,0.0628
premium,41.8675,32.8723,6.304,460.4452,0.4865,0.1825,0.0771
price_sensitive,40.544,17.2209,6.9257,188.1039,0.4276,0.5508,0.0909
digital,33.4763,13.335,7.7289,190.9556,0.8645,0.141,0.1917
family,33.1297,24.3731,5.9583,246.1874,0.3639,0.3576,0.0876
digital,37.1387,11.1937,6.4448,201.8512,0.7271,0.2214,0.1214
family,34.0491,9.7926,9.9442,308.2323,0.3754,0.3471,0.0487
family,25.7159,15.5884,9.6066,388.0278,0.278,0.2137,0.0
digital,30.1677,4.0,11.1497,325.9977,0.8101,0.3461,0.1608
digital,27.0909,21.9279,6.6488,207.385,0.8034,0.1683,0.1153
price_sensitive,34.4194,9.2789,5.6701,163.3518,0.4194,0.3924,0.1237
family,37.4281,26.6121,6.2144,347.6605,0.0453,0.2569,0.0518
family,48.3068,17.2191,8.5065,234.6677,0.5781,0.3019,0.0334
premium,30.8075,40.5809,7.1256,585.9529,0.7961,0.1222,0.1243
price_sensitive,34.2492,14.0415,4.9682,207.8431,0.4083,0.4299,0.0563
family,38.4457,23.5128,8.6189,397.0333,0.2217,0.262,0.0673
price_sensitive,43.3335,16.7069,5.7336,129.5815,0.3833,0.5276,0.0698
premium,35.8127,26.6126,3.8566,341.9581,0.1181,0.0171,0.088
family,26.5893,15.882,4.1514,219.4912,0.2688,0.1853,0.0522
digital,21.3479,16.7926,7.2221,188.5038,0.8387,0.3136,0.0771
premium,39.9942,48.8997,7.2742,405.8405,0.6845,0.2402,0.0099
premium,49.0988,20.5047,6.2267,262.6732,0.4679,0.0745,0.05
digital,27.1017,23.7981,8.7113,193.9145,0.6703,0.2213,0.1159
digital,31.4782,20.7871,10.5641,175.6942,0.7467,0.1861,0.0738
digital,33.2484,20.1737,8.4883,223.6393,0.8206,0.1267,0.1673
price_sensitive,41.1746,12.3801,5.4932,143.7157,0.4062,0.3618,0.0064
premium,33.6799,33.6399,6.9827,487.0761,0.6715,0.08,0.1476
family,24.423,18.1662,6.0693,415.915,0.2295,0.2768,0.0344
digital,18.2019,18.4425,9.4533,168.4025,0.8115,0.3459,0.015
premium,38.64,31.2845,4.9566,442.5288,0.2889,0.1458,0.0424
family,40.7916,10.2422,5.3358,164.3922,0.3175,0.3692,0.0276
digital,27.5088,21.8598,10.3238,259.1635,0.8114,0.039,0.1302
family,34.5945,21.8506,7.3598,324.8415,0.3207,0.4201,0.0049
digital,19.505,11.4629,13.9108,225.8806,0.6382,0.2247,0.1289
premium,39.7582,35.0585,5.4227,370.2348,0.6926,0.1708,0.126
premium,40.3954,37.5105,6.0923,453.7245,0.1895,0.0959,0.1113
premium,36.9176,27.813,2.9893,578.9184,0.432,0.0378,0.024
price_sensitive,33.5789,5.508,4.3895,131.6638,0.2032,0.4228,0.0673
digital,20.1377,18.6661,10.8054,134.8352,0.9382,0.2404,0.0945
family,42.8797,31.1058,7.3453,310.6965,0.1996,0.2179,0.0801
digital,36.5459,14.8067,10.0331,168.307,0.7725,0.0778,0.0797
digital,26.7271,11.401,7.8404,256.4309,0.8027,0.2653,0.1313
family,23.6446,26.7802,7.2405,346.7087,0.3126,0.2708,0.0257
digital,30.1919,19.71,9.028,172.7051,0.7246,0.0735,0.1371
family,33.9625,26.1391,7.5365,365.6467,0.3538,0.2374,0.0043
family,28.0396,33.2945,3.7552,365.7624,0.1993,0.2864,0.0745
family,21.5115,27.1504,9.1313,476.9139,0.288,0.4463,0.0882
premium,56.6936,18.367,6.1458,257.0695,0.582,0.1012,0.0759
price_sensitive,31.5983,12.7282,4.5572,109.0094,0.3842,0.4251,0.0982
digital,22.1982,16.4747,11.1799,206.7112,0.9006,0.2614,0.1645
family,37.6782,21.797,7.9024,322.34,0.3657,0.272,0.0468
digital,37.1131,16.374,8.7595,167.5576,0.7797,0.095,0.1594
family,36.5531,27.6685,10.0196,351.9459,0.0595,0.4212,0.0704
premium,43.7998,28.1894,5.2459,454.0302,0.4535,0.1101,0.1034
price_sensitive,40.9784,21.024,5.219,95.3788,0.3638,0.5742,0.1018
family,20.2242,30.1228,7.3319,216.2943,0.0583,0.3733,0.0889
digital,31.0544,18.3878,8.3424,194.4182,0.6547,0.1859,0.12
price_sensitive,36.18,15.8984,5.9375,206.3389,0.4545,0.55,0.101
family,46.3911,12.9547,3.9744,230.8379,0.2787,0.3293,0.0657
premium,45.3469,32.3049,5.0255,624.6989,0.3041,0.2211,0.0907
family,35.6164,22.2695,9.2255,300.1459,0.3955,0.3877,0.1162
family,35.7065,24.58,8.2244,426.0857,0.19,0.1978,0.0624
family,44.6207,26.3644,6.3849,397.4274,0.3272,0.2704,0.0709
family,37.6805,13.2506,5.5874,241.304,0.3468,0.3917,0.0934
family,38.6379,33.4158,7.2111,371.1565,0.2413,0.2629,0.033
family,40.1314,17.0441,6.7106,388.8016,0.5254,0.2512,0.0567
price_sensitive,27.1188,7.3593,5.2178,142.0549,0.3908,0.2691,0.1187
premium,44.8362,28.8462,6.3323,604.8592,0.2856,0.0,0.065
family,30.7613,17.631,9.005,247.2924,0.3797,0.2746,0.0701
price_sensitive,39.7665,17.4804,7.0126,117.8616,0.3319,0.5397,0.0664
price_sensitive,19.166,17.1893,5.4527,157.2824,0.5012,0.4239,0.0768
family,42.5638,24.7481,4.5859,302.6902,0.4805,0.5199,0.0589
premium,46.094,34.4814,3.1534,316.8503,0.402,0.1265,0.1183
digital,30.2614,23.26,6.0763,265.7291,0.6614,0.1671,0.1222
premium,34.4185,28.1032,4.5516,516.437,0.4482,0.0559,0.0838
family,32.488,19.7402,6.301,270.8311,0.3793,0.2589,0.0938
family,24.8915,13.7517,10.8601,347.5898,0.1422,0.2472,0.1062
price_sensitive,30.3983,14.6219,7.9734,157.0243,0.3889,0.6035,0.0633
family,46.1822,19.7983,8.185,226.742,0.3475,0.5005,0.0298
price_sensitive,32.948,16.0556,7.8601,168.9506,0.4667,0.3519,0.0261
digital,26.0824,14.3837,7.869,233.8768,0.8457,0.1714,0.1077
digital,26.9324,21.9484,9.0015,237.3983,0.6308,0.1779,0.1033
family,44.5125,24.1021,7.7338,252.2883,0.421,0.2208,0.1095
digital,28.1302,19.0129,8.8061,219.6672,0.5988,0.2057,0.2839
family,39.0775,11.353,7.6787,211.7882,0.3467,0.2458,0.0459
premium,43.725,33.4268,8.23,460.9542,0.2451,0.2171,0.053
premium,28.9497,38.15,6.3403,461.5497,0.7423,0.2207,0.1105
price_sensitive,26.5728,18.4407,3.782,66.3263,0.2332,0.7071,0.095
digital,18.0,27.009,10.8069,114.9644,0.7505,0.0296,0.2179
price_sensitive,23.6135,12.111,6.4246,137.4757,0.6629,0.6505,0.1028
family,44.191,32.353,3.205,350.0509,0.4042,0.388,0.0637
digital,31.4974,16.109,8.3526,334.5117,0.74,0.2459,0.0853
family,30.074,17.6788,9.7602,266.4313,0.3885,0.3554,0.0377
price_sensitive,33.9356,20.8143,5.2229,148.6627,0.2028,0.3451,0.0677
premium,38.0326,38.9708,5.3034,333.7862,0.585,0.2131,0.1292
digital,28.642,25.3713,7.6863,190.1862,0.5983,0.2591,0.1262
family,40.7754,17.0548,5.8925,136.073,0.4522,0.2691,0.0458
family,26.3294,26.2893,8.4019,203.7659,0.2786,0.492,0.0456
price_sensitive,33.3867,5.2444,3.9168,161.9323,0.377,0.2836,0.0819
price_sensitive,32.9829,15.8308,5.396,105.0091,0.4361,0.3708,0.0851
price_sensitive,21.4764,20.2199,7.8251,141.3837,0.3421,0.5713,0.0816
price_sensitive,19.7643,14.0306,6.2763,25.0,0.2873,0.5268,0.1362
digital,27.6263,16.4471,9.4672,223.1139,0.8844,0.1245,0.1851
digital,18.9646,18.4943,9.5931,121.8135,0.962,0.2586,0.153
family,41.6585,22.3534,5.8118,373.5313,0.4774,0.2825,0.0516
family,43.8635,22.9307,6.994,391.2574,0.2242,0.1516,0.1223
premium,33.5748,38.4886,5.396,337.7467,0.7519,0.0457,0.0459
digital,30.658,22.1605,10.0275,249.6334,0.9309,0.1088,0.1306
family,31.6289,21.6846,5.858,504.5685,0.2925,0.1741,0.0577
digital,20.4721,16.4078,7.9565,184.2724,0.8744,0.2534,0.0931
digital,30.5922,16.9938,10.9122,122.6297,0.7257,0.1769,0.1488
price_sensitive,20.2412,5.8466,6.3068,113.6052,0.2926,0.4102,0.1573
premium,44.9601,45.5547,4.7622,452.1769,0.13,0.0853,0.1138
digital,36.1058,18.3925,8.0465,205.6241,0.7288,0.2165,0.1147
digital,24.8526,24.8414,11.2959,182.195,0.98,0.1848,0.0579
premium,46.6774,37.0017,4.3618,359.3405,0.5083,0.1543,0.0406
price_sensitive,30.4917,11.8779,7.8753,199.6592,0.494,0.6026,0.1182
price_sensitive,40.3668,15.9283,5.8451,112.051,0.6209,0.2622,0.1163
digital,20.841,22.3804,10.1263,148.6933,0.6346,0.2267,0.1334
family,43.7614,29.3089,7.077,422.6586,0.4559,0.4038,0.0592
family,30.5137,28.071,7.2283,382.7579,0.5094,0.4324,0.0292
family,44.9438,13.1101,8.5472,401.6806,0.411,0.2156,0.0361
family,40.1467,18.8396,4.7985,345.3603,0.3648,0.3608,0.115
price_sensitive,20.5958,16.6299,3.918,216.8809,0.5231,0.5253,0.0993
digital,36.0913,20.476,7.72,168.0598,0.7816,0.1332,0.0575
price_sensitive,40.1745,13.3445,7.5224,147.9759,0.4586,0.6039,0.0716
price_sensitive,37.5958,12.6577,8.6222,112.3953,0.6638,0.1867,0.0752
family,38.3846,13.9712,6.5978,227.9883,0.3696,0.3206,0.0913
digital,28.8485,20.3356,10.6364,122.9213,0.5839,0.1872,0.1064
price_sensitive,38.2802,19.5223,5.4074,110.4914,0.4826,0.6969,0.0771
price_sensitive,27.2663,4.0,5.4263,200.9871,0.5697,0.2739,0.1189
premium,34.865,35.9095,5.4313,570.28,0.5304,0.1483,0.0721
price_sensitive,41.3487,9.5252,8.469,146.012,0.6018,0.3483,0.0937
digital,26.2296,19.6682,13.0987,169.178,0.7659,0.2825,0.1448
digital,28.2226,6.7566,7.0909,173.9739,0.9148,0.1866,0.1561
premium,38.3501,23.399,4.6907,662.7782,0.4744,0.0661,0.0684
family,33.6869,30.0832,6.1354,350.8507,0.5794,0.3686,0.084
family,46.4843,18.503,8.2075,264.6451,0.4077,0.3235,0.0387
price_sensitive,40.2089,17.3217,8.3024,214.5214,0.5044,0.5704,0.0427
price_sensitive,26.753,18.1313,6.361,190.1571,0.4308,0.3546,0.0303
family,36.2934,21.0693,9.3351,375.2379,0.4906,0.2192,0.0701
digital,32.6327,14.2034,7.9884,254.2267,0.7548,0.2147,0.126
premium,40.0645,23.4976,6.5544,617.0689,0.4658,0.168,0.0904
family,22.9697,20.7744,7.9541,204.8752,0.328,0.1015,0.1057
family,28.4101,21.8441,7.4126,338.2063,0.2665,0.2607,0.0286
digital,31.7433,21.6234,9.0481,127.5324,0.7437,0.1838,0.1195
price_sensitive,36.4813,18.2443,6.1216,172.4814,0.5462,0.4817,0.1123
digital,31.035,22.3497,8.8342,182.448,0.6805,0.1563,0.1182
price_sensitive,40.0196,19.0755,5.7326,111.0548,0.2927,0.3742,0.0
digital,35.95,18.0555,6.4174,119.1019,0.8864,0.1648,0.0569
digital,34.7728,16.33,8.983,175.8582,0.8597,0.0764,0.1937
digital,36.7125,17.7814,9.2675,211.4417,0.8172,0.2001,0.1521
digital,28.9472,21.7941,9.602,106.8007,0.6625,0.0813,0.2048
premium,43.1084,29.0855,9.2173,566.4489,0.424,0.0,0.1112
digital,27.8051,19.7921,11.2273,144.4703,0.9701,0.2923,0.0675
digital,38.5314,24.8066,7.3238,213.7887,0.98,0.4119,0.119
price_sensitive,47.6496,17.8652,7.0769,119.8382,0.4732,0.4669,0.092
premium,37.9148,33.8109,6.2525,365.7146,0.5332,0.1165,0.1093
family,31.0227,19.0506,8.3799,367.731,0.3422,0.2519,0.1168
price_sensitive,51.3747,13.8768,2.051,122.3226,0.4875,0.164,0.0738
digital,40.0484,23.2634,8.1531,25.0,0.8776,0.1045,0.0808
premium,35.4245,30.6153,3.6455,289.1029,0.4375,0.1223,0.1349
family,28.7077,31.2416,6.5463,195.3157,0.1953,0.2023,0.0302
family,42.1224,10.008,9.061,211.3602,0.3133,0.1118,0.0526
digital,33.1933,19.9771,8.7406,179.6021,0.6907,0.1644,0.1829
price_sensitive,37.2817,9.0319,6.7097,102.2972,0.3742,0.4049,0.0213
price_sensitive,29.0518,11.6258,5.5229,92.4011,0.1894,0.4249,0.0463
digital,27.7464,27.721,8.0387,118.2319,0.6906,0.0503,0.0543
family,21.9344,21.06,5.0618,281.9368,0.3963,0.2207,0.0377
digital,23.2904,18.4211,11.0214,197.1633,0.7002,0.2305,0.1231
price_sensitive,22.6772,15.2617,6.4319,144.3813,0.3465,0.3793,0.0768
premium,48.8085,35.512,5.0184,883.7818,0.7092,0.2131,0.0556
family,41.7524,15.7044,8.7139,220.2494,0.2074,0.177,0.0428
digital,25.8582,16.1223,7.6892,171.6203,0.7353,0.2255,0.0997
family,44.2055,32.2691,7.656,430.1529,0.1913,0.443,0.0409
digital,30.7363,14.5338,9.0303,169.8547,0.6483,0.1481,0.096
price_sensitive,45.4046,16.5003,5.7508,100.0859,0.6013,0.4181,0.0921
price_sensitive,38.6206,9.5267,6.223,127.0545,0.581,0.5072,0.0807
premium,21.5675,30.0377,4.1665,408.3656,0.46,0.0841,0.1024
premium,38.4611,38.2508,5.6178,417.4281,0.3671,0.0446,0.1173
premium,45.7143,26.7447,6.182,507.3656,0.4417,0.0663,0.0359
price_sensitive,33.4154,13.6553,7.2091,202.3818,0.6159,0.381,0.1241
price_sensitive,46.8444,18.1036,6.2591,247.6215,0.4029,0.4365,0.1071
premium,50.8353,49.7276,4.3275,474.3963,0.5141,0.0474,0.0359
family,34.4895,14.9333,8.7893,299.9433,0.2669,0.2054,0.0144
digital,26.379,27.5229,7.919,179.1384,0.6812,0.1789,0.1091
premium,45.0906,37.8618,5.4591,377.17,0.5858,0.1541,0.0527
family,49.6501,15.105,6.0532,236.4698,0.4197,0.2012,0.0884
family,37.5563,33.0704,8.0197,248.0686,0.4173,0.3874,0.0701
price_sensitive,42.9736,6.439,5.4263,38.2201,0.403,0.5429,0.0598
family,46.7182,24.6771,6.6549,231.727,0.2624,0.4646,0.0626
family,33.7337,21.3093,8.5119,318.8598,0.4611,0.2341,0.0318
price_sensitive,29.982,14.2038,3.3661,172.5781,0.4582,0.3446,0.0794
family,29.6572,25.1973,5.0026,412.3074,0.2426,0.4704,0.0712
premium,53.9126,32.8438,5.4851,704.8402,0.5052,0.1119,0.037
premium,42.2658,26.9637,4.0246,460.0266,0.5867,0.2284,0.0473
family,26.1925,28.5722,8.1533,321.3262,0.2207,0.5837,0.0766
premium,29.4327,32.365,6.8146,460.5138,0.6611,0.0,0.0909
digital,46.6819,15.8409,9.1275,210.1717,0.7971,0.149,0.2006
family,40.829,14.7617,5.0624,416.9397,0.5082,0.3394,0.067
family,32.7582,25.909,7.0018,302.703,0.1467,0.2535,0.0473
premium,45.2057,8.0017,6.584,512.2246,0.5141,0.081,0.043
price_sensitive,37.821,10.1169,4.3394,86.1496,0.6424,0.4999,0.1297
family,26.4225,15.4814,8.5843,227.9386,0.448,0.0782,0.0833
family,43.8032,25.5697,10.1185,320.3873,0.2725,0.4095,0.156
family,38.9491,16.1115,7.7978,385.773,0.3792,0.2175,0.0625
family,27.5142,17.6685,6.192,526.0746,0.4084,0.404,0.0819
premium,38.598,36.2025,7.0393,472.9477,0.1142,0.0572,0.0599
digital,39.5845,20.2724,8.3687,247.7581,0.8551,0.248,0.0369
price_sensitive,25.9677,22.8475,5.6812,174.2462,0.4717,0.3154,0.0023
digital,26.0082,16.8694,8.3844,226.4195,0.6983,0.0712,0.1152
digital,25.9796,18.9308,11.1553,144.093,0.7403,0.162,0.1338
digital,24.0927,10.8538,9.1015,154.846,0.5463,0.1117,0.0762
premium,36.596,42.3014,6.064,589.1162,0.2936,0.161,0.0674
premium,25.5094,35.5316,7.2678,602.4891,0.4864,0.0809,0.0589
price_sensitive,32.3779,6.9937,7.4228,209.0565,0.1523,0.2482,0.0668
family,37.8157,27.6242,8.9,363.9859,0.2488,0.3472,0.0215
price_sensitive,22.5572,13.4824,6.3921,271.4151,0.5438,0.6212,0.1663
digital,19.6306,17.7363,9.2154,181.4024,0.8513,0.1736,0.1505
digital,43.6734,12.0965,10.0526,164.952,0.7647,0.1029,0.1863
price_sensitive,39.9275,16.3516,3.9288,180.3301,0.358,0.4407,0.0868
price_sensitive,19.8941,19.2875,7.3953,191.6295,0.498,0.474,0.0836
digital,26.0357,16.4557,10.8998,142.2493,0.8094,0.164,0.1342
family,30.9007,32.6595,5.3299,264.1,0.3265,0.4771,0.042
digital,23.0995,21.9034,8.0464,243.4836,0.6817,0.0704,0.0757
digital,22.9515,23.6952,9.9394,115.255,0.8154,0.2303,0.0998
family,27.724,27.7703,5.923,303.5306,0.3508,0.2155,0.0727
family,24.1577,18.8048,7.6702,236.5242,0.3504,0.2354,0.0039
family,40.8012,20.3178,4.0684,235.8955,0.4847,0.2628,0.0803
family,35.8294,22.855,11.4267,310.9006,0.3516,0.339,0.0731
family,31.4796,25.1994,7.5505,338.0053,0.3189,0.2469,0.0548
digital,29.7541,17.5623,7.6752,253.981,0.6811,0.2518,0.0976
digital,27.3414,19.5137,12.4777,81.4437,0.8275,0.0772,0.0299
digital,28.2483,9.4184,10.9374,210.2563,0.5794,0.2904,0.0081
family,32.2488,15.144,4.2006,244.5653,0.3083,0.23,0.0968
price_sensitive,46.0641,13.395,7.2034,193.2619,0.3802,0.3733,0.1269
price_sensitive,31.4954,7.1826,4.2589,156.4306,0.3529,0.3556,0.1036
family,32.9914,26.9839,7.5825,392.8449,0.2906,0.3405,0.0424
premium,49.0803,34.7304,5.3111,610.066,0.2574,0.0457,0.1451
family,44.3504,22.3428,7.6728,249.1913,0.4084,0.1808,0.0418
price_sensitive,41.3871,16.0044,7.8753,197.5218,0.484,0.3305,0.0938
digital,27.9972,23.7104,10.5345,75.3617,0.9661,0.1826,0.1704
premium,56.0369,36.6149,4.398,415.7375,0.4138,0.1075,0.0762
family,26.0509,35.0049,7.8726,305.8491,0.3775,0.3705,0.0354
digital,20.3493,10.7554,9.8479,178.2929,0.8521,0.3665,0.0227
premium,35.8219,39.7545,6.5664,505.6216,0.4201,0.1465,0.0989
price_sensitive,25.5139,20.8502,5.1743,146.2072,0.5664,0.6226,0.1305
premium,38.6037,31.7452,6.0359,449.9028,0.6359,0.224,0.0409
digital,18.9709,20.5179,13.6635,300.2554,0.8737,0.0373,0.1854
family,36.4553,20.3487,8.5093,234.2638,0.2114,0.3073,0.1113
family,18.0,19.898,8.1032,373.1768,0.3287,0.3591,0.0473
digital,31.4227,26.3652,8.9933,266.2297,0.7056,0.298,0.1097
premium,52.9369,44.628,6.931,522.6907,0.3419,0.1665,0.0279
premium,36.9013,35.0594,6.6177,688.1645,0.4369,0.2288,0.0982
price_sensitive,44.7669,12.2682,5.924,100.2089,0.4321,0.3486,0.038
price_sensitive,18.0,11.5444,7.0895,89.3123,0.496,0.5226,0.1356
price_sensitive,34.9068,17.0267,5.5565,82.3499,0.3516,0.588,0.1042
digital,25.5353,13.1117,10.1456,178.5289,0.7481,0.2093,0.0
price_sensitive,18.0,8.4849,9.2355,89.9944,0.6123,0.5703,0.0556
family,48.74,26.1733,11.1213,212.4401,0.3108,0.0652,0.0746
family,43.2988,17.3363,9.6218,334.6662,0.2197,0.3635,0.0858
price_sensitive,32.8841,10.7084,5.5293,157.2775,0.308,0.2889,0.0845
digital,35.9256,24.7984,9.4418,158.8808,0.8437,0.1583,0.0395
price_sensitive,40.6443,10.5055,8.9506,136.5932,0.4013,0.3925,0.0965
price_sensitive,18.0,7.0142,3.553,194.3538,0.4255,0.4462,0.0894
price_sensitive,33.6582,6.8187,9.6384,171.6773,0.6378,0.4543,0.0804
digital,33.3098,15.8294,13.5583,95.9197,0.9245,0.0334,0.119
family,40.9752,25.5256,7.3128,394.969,0.4188,0.2701,0.0222
digital,18.0,12.1055,7.8879,79.347,0.7967,0.1648,0.1907
price_sensitive,22.3239,13.007,5.7528,102.1376,0.3906,0.4125,0.1481
family,43.2258,23.0288,8.6554,270.6506,0.5036,0.256,0.1003
family,25.8767,21.0467,8.8239,372.8554,0.3252,0.1086,0.0689
price_sensitive,33.5645,5.9407,9.0329,159.4591,0.4573,0.4688,0.0993
family,32.2937,24.8491,7.8339,334.599,0.3676,0.3662,0.0643
family,25.7533,25.8222,5.8579,334.5663,0.3525,0.3042,0.0478
digital,19.5719,16.1489,9.9408,90.3481,0.6913,0.279,0.1295
digital,24.4744,15.4835,9.3321,220.1258,0.7475,0.3167,0.111
price_sensitive,36.9763,10.8264,5.1509,129.7506,0.3845,0.49,0.1976
family,38.8942,14.7551,10.1562,417.1135,0.4101,0.0808,0.0851
family,33.7168,26.8641,8.1752,389.4863,0.255,0.2872,0.0326
premium,41.2114,32.5847,6.4738,369.5008,0.5374,0.0,0.0493
premium,34.0883,40.6429,3.5781,654.5875,0.4952,0.2015,0.1421
family,27.1244,19.9686,7.2805,310.2572,0.3393,0.266,0.0812
premium,44.4285,24.2381,6.9812,369.3475,0.2982,0.0,0.0904
family,19.1969,28.1064,5.4911,262.5523,0.4349,0.4892,0.0285
price_sensitive,38.8496,9.4564,7.2483,65.8694,0.49,0.4397,0.0862
family,29.4012,19.1518,7.4895,221.6123,0.1765,0.1689,0.0582
family,39.085,22.4936,6.1304,275.0478,0.1904,0.2337,0.0858
digital,30.415,14.1472,11.6785,273.6785,0.9286,0.2219,0.1236
digital,21.7253,19.9429,7.6145,218.2389,0.6182,0.2654,0.139
digital,22.9736,17.0667,11.8643,222.5163,0.6769,0.1625,0.1021
price_sensitive,32.9373,10.2483,7.8681,118.3004,0.2643,0.7003,0.1045
family,40.7175,20.2603,7.4915,369.0669,0.2045,0.3225,0.0527
premium,51.5412,30.6269,2.4558,502.6631,0.5101,0.0624,0.0942
digital,33.7189,14.0973,7.1545,251.2066,0.6926,0.2821,0.1933
price_sensitive,32.2028,17.3648,5.5369,135.236,0.4989,0.5277,0.1116
premium,37.7145,29.9808,5.7951,707.1337,0.5397,0.1199,0.174
price_sensitive,38.3558,12.9624,3.8707,150.7438,0.454,0.4254,0.0891
premium,42.9967,33.6416,3.923,578.6262,0.6346,0.052,0.0588
family,42.3186,23.3059,6.9014,353.2288,0.3591,0.0971,0.0548
family,38.5814,26.292,7.1516,258.395,0.5104,0.1283,0.0526
digital,32.4293,25.488,6.8565,205.5381,0.7382,0.2231,0.0637
price_sensitive,31.3975,17.0635,8.7372,69.2157,0.4097,0.3766,0.08
price_sensitive,44.6296,8.2385,5.8767,59.9953,0.2427,0.237,0.0119
family,35.2284,20.7553,2.7822,282.4038,0.3193,0.1239,0.0843
digital,28.1195,19.7006,9.8115,152.091,0.912,0.2039,0.1246
family,32.467,24.4949,12.5424,198.5278,0.3443,0.2531,0.054
price_sensitive,29.9468,12.7963,8.0542,74.7158,0.308,0.7626,0.0436
premium,28.1153,27.3628,3.8497,640.0558,0.5379,0.123,0.044
digital,30.5021,22.3288,9.3868,194.3177,0.6863,0.0727,0.1951
premium,49.778,31.1421,5.6808,371.1489,0.6596,0.0869,0.082
digital,28.0752,23.2037,10.656,232.2339,0.7477,0.3734,0.1203
price_sensitive,37.9864,17.6343,1.81,52.0266,0.4617,0.4263,0.0569
premium,37.9211,32.515,4.414,722.5033,0.5338,0.1969,0.0969
digital,30.1112,17.9148,6.9817,212.065,0.6924,0.1989,0.0359
family,36.8205,21.8321,3.4546,388.4197,0.4717,0.198,0.0519
digital,25.8338,22.014,8.9162,178.94,0.6276,0.0945,0.1064
family,32.8187,9.5887,6.9747,228.8367,0.2118,0.251,0.0467
digital,24.182,16.3676,8.4766,196.2542,0.7317,0.1492,0.0777
family,31.5375,14.2812,7.2069,407.1677,0.2279,0.0959,0.0654
family,39.7011,28.4974,9.2365,240.3812,0.4754,0.3913,0.0639
family,34.2091,22.1777,4.9448,316.1492,0.426,0.2304,0.0478
family,40.3603,18.9342,6.0879,361.1728,0.4243,0.2175,0.0566
digital,21.9227,21.0734,8.5833,148.5883,0.6432,0.206,0.0372
price_sensitive,26.8696,14.5918,5.4807,112.2739,0.3287,0.4431,0.0717
digital,27.9017,19.0122,10.1202,246.6136,0.5946,0.1593,0.1536
digital,34.7284,15.3652,7.6657,129.1731,0.7589,0.2049,0.176
price_sensitive,23.6006,10.9366,6.1227,183.5134,0.4976,0.4214,0.11
price_sensitive,45.7149,12.0937,5.7739,186.323,0.3984,0.4279,0.0565
digital,25.417,14.5925,8.7883,152.1522,0.7485,0.2384,0.1992
digital,27.2109,17.1778,10.2952,144.0439,0.7971,0.2319,0.1361
family,48.8454,24.8572,7.044,286.2061,0.2369,0.3335,0.0567
premium,44.8307,27.662,3.2038,557.6321,0.3669,0.1811,0.0874
family,33.2852,22.7161,6.8435,445.5988,0.4133,0.3895,0.0589
family,31.433,21.2369,4.916,180.6955,0.192,0.282,0.0942
family,30.6054,18.0037,7.1422,488.5647,0.4498,0.2065,0.0745
price_sensitive,37.7769,14.8194,5.1385,217.1773,0.4511,0.5531,0.1152
price_sensitive,32.6841,12.9393,7.3012,117.1191,0.1065,0.623,0.0327
price_sensitive,32.7703,10.1031,7.632,155.0792,0.3834,0.3658,0.0742
digital,36.3811,20.6631,9.6745,147.3013,0.5637,0.3181,0.0853
family,40.1741,18.5364,5.861,183.997,0.421,0.4021,0.0423
family,42.8165,23.8157,9.4874,237.9229,0.2884,0.3433,0.0874
premium,48.8463,38.0696,4.9979,642.7611,0.4347,0.2173,0.1369
price_sensitive,25.0779,16.0023,4.9709,103.0191,0.327,0.6966,0.0838
family,36.3191,22.0108,3.0616,207.485,0.3437,0.2306,0.0
price_sensitive,35.7128,12.106,5.6251,128.4303,0.3547,0.5277,0.135
digital,32.8911,17.396,6.8909,142.5694,0.7239,0.208,0.0983
premium,41.2307,42.0832,5.1104,334.4724,0.426,0.121,0.1531
