monthly_income_k,debt_ratio,loan_amount_k,credit_history_months,overdue_count,employment_years,home_ownership,loan_purpose,region,default_risk
13.48,0.441,23.69,184,4,15.1,rent,car,west,low
15.01,0.468,16.87,141,1,6.0,own,medical,north,low
20.9,0.328,26.45,23,1,7.1,mortgage,car,east,low
18.08,0.362,23.3,127,2,13.9,rent,consumer,south,low
3.91,0.483,35.98,103,2,5.4,rent,working_capital,east,high
17.18,0.444,31.58,53,2,12.4,mortgage,consumer,south,low
19.5,0.195,17.71,49,1,9.3,mortgage,car,east,low
21.73,0.807,16.4,6,0,5.5,mortgage,car,west,high
16.1,0.169,20.33,29,0,2.4,mortgage,consumer,east,low
5.76,0.488,35.24,11,1,5.9,own,consumer,west,high
11.46,0.437,27.95,164,1,8.6,rent,education,south,low
7.26,0.291,2.0,74,0,0.5,rent,working_capital,north,low
24.43,0.37,44.92,36,0,8.4,mortgage,consumer,south,low
7.72,0.349,30.97,88,1,13.5,rent,consumer,west,low
12.68,0.108,29.77,135,0,0.0,own,working_capital,east,low
18.35,0.211,38.29,187,1,3.6,mortgage,car,east,low
22.81,0.286,18.56,66,0,1.6,mortgage,consumer,west,low
25.53,0.352,2.0,16,2,2.7,mortgage,education,south,low
16.18,0.371,18.02,110,2,0.0,mortgage,car,west,high
33.24,0.645,15.31,86,1,2.6,mortgage,consumer,north,low
18.66,0.648,32.78,108,1,8.4,mortgage,consumer,west,low
15.79,0.199,11.83,195,1,0.3,rent,consumer,south,low
23.35,0.454,23.48,229,0,7.5,rent,medical,north,low
24.41,0.616,27.91,211,1,2.4,rent,working_capital,north,low
14.25,0.543,21.43,113,1,4.6,mortgage,education,east,low
22.66,0.345,2.0,31,0,11.5,mortgage,education,west,low
16.93,0.472,21.78,86,1,3.6,mortgage,education,west,low
22.8,0.25,22.25,206,0,0.0,rent,education,north,low
15.09,0.208,31.91,5,0,8.4,mortgage,medical,east,low
23.26,0.661,15.97,222,0,7.9,mortgage,medical,south,low
38.82,0.184,43.55,161,1,5.9,rent,car,east,low
19.99,0.433,15.2,166,0,4.1,rent,education,south,low
18.8,0.457,27.47,142,2,7.7,rent,education,south,low
19.95,0.32,29.27,27,2,4.0,own,working_capital,north,high
23.61,0.194,31.39,176,0,0.0,rent,education,east,low
21.07,0.214,28.72,20,0,0.3,mortgage,car,south,low
26.3,0.63,12.86,175,1,4.0,rent,education,south,low
25.24,0.115,31.6,83,0,3.9,mortgage,consumer,west,low
26.18,0.229,8.54,130,1,4.5,rent,education,south,low
18.42,0.298,12.13,94,1,9.7,rent,medical,south,low
17.73,0.627,24.23,112,1,10.3,mortgage,consumer,north,low
14.84,0.616,18.57,129,0,7.3,mortgage,working_capital,north,low
17.74,0.45,15.91,188,0,2.9,mortgage,education,north,low
3.5,0.375,36.98,61,0,9.0,mortgage,car,east,low
12.53,0.29,14.78,106,1,13.3,rent,medical,south,low
28.11,0.346,27.47,230,1,8.8,own,education,south,low
13.2,0.367,13.57,63,1,5.9,rent,car,north,high
28.42,0.213,13.46,200,0,9.5,mortgage,working_capital,east,low
14.24,0.233,13.93,44,1,6.4,mortgage,working_capital,west,low
18.04,0.153,7.78,170,0,6.1,mortgage,car,east,low
24.71,0.706,7.96,223,0,6.0,rent,medical,west,low
25.59,0.26,18.92,30,1,5.3,mortgage,working_capital,east,low
19.8,0.137,27.65,148,1,6.4,rent,medical,east,low
13.05,0.378,26.96,63,1,3.7,rent,working_capital,east,low
8.71,0.512,29.27,55,2,2.0,mortgage,working_capital,south,high
25.64,0.547,19.4,151,3,0.0,rent,car,north,low
12.96,0.462,30.46,88,2,4.6,own,education,south,high
9.99,0.314,19.1,70,1,9.4,rent,working_capital,south,high
31.39,0.215,44.14,192,1,11.5,own,education,east,low
21.14,0.373,11.23,154,0,5.4,mortgage,working_capital,east,low
13.06,0.355,19.95,15,1,0.0,rent,car,north,high
13.08,0.22,14.78,125,2,2.4,mortgage,working_capital,south,low
14.92,0.627,33.54,156,0,6.8,mortgage,consumer,east,low
12.39,0.332,40.59,70,2,7.8,mortgage,consumer,north,high
12.23,0.421,22.07,143,2,2.9,own,car,west,low
23.24,0.27,26.16,26,1,8.1,mortgage,medical,east,low
9.97,0.361,25.94,77,0,10.2,own,consumer,east,low
29.77,0.515,16.95,20,0,8.6,own,working_capital,north,low
21.26,0.288,9.66,160,3,5.8,rent,consumer,west,high
13.85,0.234,23.39,202,0,8.7,mortgage,medical,north,low
16.2,0.305,21.51,20,1,12.7,rent,consumer,east,high
4.85,0.428,21.92,46,1,10.1,rent,consumer,north,high
14.36,0.508,30.05,116,1,11.0,rent,medical,north,low
10.85,0.847,18.25,236,1,0.9,own,car,south,low
17.56,0.289,14.0,233,1,4.3,mortgage,education,south,low
21.62,0.227,20.92,9,0,3.1,mortgage,car,east,low
17.38,0.08,29.68,181,0,11.1,own,education,south,low
17.44,0.604,22.54,126,0,9.0,rent,medical,east,high
28.86,0.271,18.48,81,1,3.8,rent,working_capital,west,high
17.56,0.554,11.91,112,1,4.9,mortgage,consumer,east,low
15.83,0.368,21.65,68,0,12.7,mortgage,medical,east,low
11.5,0.425,20.45,66,0,3.9,mortgage,consumer,east,low
7.73,0.594,21.39,123,1,12.8,rent,car,south,high
13.84,0.345,25.28,207,0,3.6,own,working_capital,east,low
21.17,0.339,6.73,227,0,0.7,mortgage,education,east,low
16.36,0.125,15.22,84,2,13.4,rent,education,south,low
18.14,0.659,37.72,176,2,15.9,rent,consumer,north,low
11.75,0.02,21.75,166,1,4.7,rent,car,east,low
7.37,0.488,8.65,210,1,6.1,rent,working_capital,north,low
18.67,0.535,28.12,99,4,6.6,mortgage,consumer,south,high
17.12,0.457,19.13,177,2,9.1,mortgage,medical,south,low
23.07,0.284,2.0,118,0,5.6,mortgage,consumer,south,low
4.22,0.371,17.21,190,0,12.1,mortgage,education,east,low
23.24,0.427,18.84,141,2,13.3,rent,car,north,low
24.52,0.02,19.4,205,0,8.3,rent,car,west,low
14.31,0.675,29.45,201,5,0.0,mortgage,working_capital,west,low
17.27,0.073,20.78,229,1,5.5,rent,education,north,low
9.68,0.301,28.84,137,1,1.9,mortgage,education,west,low
29.4,0.62,11.94,218,0,9.0,own,consumer,north,low
20.89,0.376,12.94,193,1,7.9,mortgage,medical,east,low
22.88,0.36,10.58,15,2,2.0,mortgage,medical,west,high
18.96,0.619,32.86,190,1,2.8,mortgage,working_capital,west,high
17.59,0.324,35.03,167,0,8.6,own,education,south,low
7.52,0.315,22.59,97,3,5.3,rent,working_capital,east,low
3.5,0.338,20.01,15,0,2.9,rent,education,east,low
19.57,0.025,13.05,56,0,15.8,mortgage,car,north,high
9.37,0.132,30.35,229,0,13.0,mortgage,car,east,low
8.53,0.552,12.77,6,1,5.0,rent,medical,west,low
20.81,0.206,22.72,117,0,2.0,own,car,north,low
23.19,0.448,37.71,176,1,7.7,own,car,north,low
27.75,0.345,24.64,200,0,11.5,rent,consumer,west,low
15.9,0.336,31.11,145,1,12.6,own,medical,south,low
26.86,0.534,12.4,198,1,1.5,mortgage,medical,south,low
12.28,0.852,11.44,125,0,3.1,rent,education,north,high
14.06,0.616,25.12,157,2,3.3,rent,medical,north,low
17.77,0.392,15.55,161,1,17.9,mortgage,car,south,low
24.81,0.374,16.4,96,1,7.1,rent,medical,south,low
11.38,0.158,30.81,190,1,5.9,mortgage,consumer,east,low
27.65,0.582,29.04,65,1,9.7,rent,car,east,low
31.76,0.329,28.5,84,2,1.9,mortgage,consumer,south,low
16.75,0.02,31.62,46,2,4.6,mortgage,consumer,north,low
23.97,0.202,15.79,200,1,0.0,mortgage,working_capital,east,low
19.65,0.295,33.3,167,1,0.0,mortgage,consumer,north,high
15.81,0.3,16.43,43,0,13.0,mortgage,working_capital,west,low
8.95,0.383,18.18,7,1,3.6,mortgage,working_capital,north,low
17.6,0.541,45.17,49,0,6.3,mortgage,medical,west,low
18.18,0.416,5.54,180,1,11.2,rent,medical,south,low
31.22,0.617,17.89,187,0,0.9,own,consumer,south,low
5.97,0.684,10.14,92,1,8.7,rent,consumer,north,low
17.34,0.373,33.98,221,1,3.3,own,car,south,low
14.54,0.649,33.78,142,0,0.0,mortgage,medical,south,low
17.42,0.429,16.01,30,0,10.4,rent,consumer,west,low
15.75,0.54,21.35,101,1,16.0,rent,consumer,south,low
18.24,0.269,21.51,121,0,2.6,rent,medical,north,low
19.0,0.216,22.1,28,1,0.0,rent,car,north,high
22.96,0.566,13.56,137,1,5.2,own,car,west,low
30.68,0.786,21.74,40,1,7.1,own,medical,south,low
11.17,0.198,28.13,236,1,2.9,rent,working_capital,east,low
28.07,0.441,28.0,51,2,6.2,own,working_capital,north,high
21.82,0.281,9.82,58,2,1.4,rent,consumer,east,low
13.04,0.303,28.21,165,0,15.3,rent,working_capital,west,low
23.19,0.383,13.9,51,1,5.9,rent,car,west,low
20.79,0.498,26.46,36,0,2.9,own,car,south,low
24.81,0.271,14.6,130,3,5.4,rent,working_capital,north,low
27.43,0.575,15.38,92,0,5.2,mortgage,consumer,south,low
18.29,0.505,12.19,209,1,6.8,mortgage,medical,north,low
9.95,0.656,27.38,143,1,6.2,rent,consumer,south,low
13.44,0.377,2.0,160,1,7.4,rent,consumer,north,low
15.59,0.384,27.34,59,1,6.1,mortgage,education,east,low
9.62,0.308,16.9,186,2,4.5,mortgage,consumer,south,high
8.72,0.465,16.46,206,1,5.7,rent,consumer,north,low
31.5,0.407,25.26,79,2,6.9,mortgage,consumer,east,low
17.01,0.348,30.41,61,0,0.0,own,working_capital,south,low
20.09,0.507,27.49,201,1,2.9,rent,education,south,low
27.75,0.625,16.12,166,3,4.6,mortgage,car,west,low
19.35,0.334,19.83,104,1,0.6,rent,education,north,low
26.49,0.244,11.84,22,0,5.2,rent,working_capital,east,high
6.29,0.307,24.04,16,0,0.0,mortgage,car,south,low
8.58,0.589,23.29,40,1,7.7,rent,medical,east,low
25.03,0.322,21.86,193,0,7.2,rent,car,north,low
18.27,0.197,17.42,161,2,9.2,rent,consumer,east,low
10.9,0.361,20.98,126,1,7.1,rent,working_capital,west,low
10.86,0.325,6.94,223,0,10.6,mortgage,car,east,high
5.69,0.451,25.12,80,2,13.4,mortgage,car,north,low
16.53,0.4,38.7,4,3,17.1,rent,working_capital,north,low
15.16,0.444,10.2,10,0,15.0,mortgage,education,west,low
25.36,0.36,22.78,180,0,5.1,mortgage,education,west,low
19.34,0.557,13.66,155,2,0.0,own,working_capital,west,low
24.27,0.336,28.24,170,2,11.1,rent,education,west,low
10.76,0.413,28.44,102,1,8.4,own,education,south,high
25.01,0.477,25.15,178,1,4.6,rent,medical,north,low
20.4,0.02,26.69,41,0,12.9,rent,education,west,low
7.62,0.414,16.27,42,0,0.0,rent,working_capital,east,high
23.1,0.548,3.61,67,1,6.0,rent,education,west,low
27.12,0.684,2.0,211,1,9.2,mortgage,car,west,low
18.61,0.181,25.64,165,1,9.8,mortgage,education,north,low
17.92,0.251,13.81,8,0,13.0,rent,medical,south,low
25.49,0.553,46.4,181,0,12.9,rent,car,west,low
20.41,0.612,26.82,134,3,9.7,rent,medical,east,low
21.23,0.205,9.02,164,2,5.1,rent,working_capital,north,low
22.11,0.479,19.67,132,0,0.0,own,car,south,low
28.05,0.266,38.85,20,0,0.0,mortgage,working_capital,west,high
16.64,0.382,11.85,184,1,8.5,own,medical,east,low
16.52,0.265,23.3,61,1,14.2,rent,education,east,low
23.37,0.222,26.02,62,0,2.8,own,working_capital,east,low
29.83,0.417,19.04,147,1,4.2,rent,education,south,low
21.27,0.375,35.42,108,2,8.0,rent,car,south,high
14.43,0.45,15.35,86,0,19.7,own,consumer,south,high
22.33,0.552,21.2,177,1,10.2,mortgage,working_capital,east,low
26.29,0.421,28.56,159,1,0.9,mortgage,education,south,low
10.71,0.409,21.72,233,0,12.7,mortgage,working_capital,south,low
20.96,0.483,13.74,55,0,5.1,own,medical,east,low
14.28,0.253,47.61,143,0,17.2,mortgage,consumer,north,low
3.5,0.571,40.98,84,0,0.0,rent,education,south,low
25.28,0.216,2.0,179,0,13.2,own,consumer,south,low
13.49,0.391,24.22,88,2,6.1,mortgage,consumer,east,low
24.57,0.488,15.6,233,0,7.0,rent,car,east,low
15.32,0.498,22.42,22,0,6.9,mortgage,car,north,low
16.53,0.544,25.22,137,0,11.1,own,car,east,low
20.99,0.627,16.78,64,2,1.6,rent,education,north,low
14.48,0.521,21.75,62,1,8.6,mortgage,working_capital,east,low
9.43,0.36,21.85,148,0,5.4,mortgage,car,east,high
17.7,0.377,16.12,114,0,3.5,own,education,south,low
17.8,0.333,7.7,117,0,7.6,mortgage,car,east,low
12.07,0.393,12.14,120,1,6.2,mortgage,education,south,low
13.4,0.353,26.25,143,0,10.5,mortgage,working_capital,south,high
4.32,0.289,21.63,40,1,7.8,own,car,north,low
23.12,0.476,15.82,180,0,0.9,rent,car,east,low
23.74,0.421,24.13,123,0,4.0,rent,medical,west,high
11.26,0.201,26.43,106,1,5.1,own,consumer,south,low
26.5,0.627,24.11,221,3,10.1,rent,medical,north,low
11.48,0.606,31.03,195,1,13.2,rent,education,east,low
6.83,0.808,12.29,170,0,8.9,rent,consumer,east,high
18.99,0.434,20.49,131,1,6.7,mortgage,education,south,low
34.4,0.026,10.2,57,1,8.5,mortgage,consumer,north,high
18.63,0.51,8.27,223,2,6.9,mortgage,education,north,low
29.2,0.368,16.09,120,1,7.3,own,medical,north,low
23.87,0.257,12.18,42,3,10.4,mortgage,education,north,low
15.6,0.473,30.6,128,0,3.1,rent,working_capital,west,low
11.51,0.645,16.53,47,1,7.0,mortgage,medical,east,low
17.97,0.399,19.38,80,0,10.7,rent,car,east,low
25.64,0.476,6.73,229,0,15.0,mortgage,medical,north,low
20.23,0.305,28.31,136,2,4.2,rent,consumer,east,low
24.29,0.473,22.11,137,2,8.5,mortgage,medical,east,low
6.41,0.216,17.11,213,1,6.4,mortgage,consumer,west,low
29.68,0.176,24.37,68,2,0.0,own,medical,west,low
16.07,0.19,19.71,186,2,10.1,mortgage,education,west,low
11.24,0.528,12.84,180,1,0.0,rent,car,south,low
22.12,0.772,25.18,174,1,8.8,mortgage,medical,north,low
23.93,0.359,17.67,213,1,5.4,mortgage,car,west,low
13.4,0.1,8.67,208,0,0.0,rent,consumer,west,low
18.31,0.378,25.78,33,0,1.3,mortgage,education,east,high
13.43,0.531,29.03,6,1,0.0,rent,consumer,south,high
24.51,0.235,14.09,186,3,9.8,mortgage,working_capital,north,low
20.84,0.206,35.27,72,2,3.3,rent,education,west,low
17.14,0.493,5.31,29,0,10.3,rent,working_capital,east,low
21.12,0.259,24.09,116,0,2.3,mortgage,car,west,low
31.55,0.322,33.83,234,0,8.5,rent,car,east,low
17.92,0.496,14.48,28,0,8.8,rent,consumer,south,high
6.18,0.369,26.37,157,3,9.0,mortgage,consumer,south,high
22.36,0.378,37.9,84,0,2.0,rent,car,north,low
4.82,0.224,22.58,218,3,3.9,mortgage,consumer,south,low
21.44,0.44,28.67,64,0,9.5,own,medical,south,low
16.3,0.562,25.08,234,2,13.7,mortgage,medical,east,low
20.29,0.02,8.19,82,1,10.3,rent,consumer,east,low
21.68,0.065,23.01,170,1,13.8,mortgage,car,east,low
20.87,0.471,27.37,97,1,8.9,mortgage,education,west,low
12.72,0.204,24.04,76,2,7.5,mortgage,consumer,north,low
23.19,0.707,40.24,98,2,0.0,rent,car,east,high
15.37,0.406,15.84,55,0,1.4,mortgage,medical,south,low
13.9,0.45,22.98,118,0,9.4,mortgage,working_capital,south,low
20.71,0.464,3.35,181,1,7.4,rent,education,north,low
18.29,0.539,20.15,152,2,13.8,own,education,south,low
30.37,0.391,25.04,202,0,0.2,rent,consumer,north,low
10.5,0.02,39.0,70,1,5.3,rent,working_capital,east,high
10.69,0.281,15.64,196,1,0.0,rent,car,east,low
16.87,0.654,18.79,29,1,9.6,mortgage,car,south,high
12.22,0.453,27.76,62,2,7.2,rent,car,west,low
27.88,0.289,43.75,47,1,0.2,rent,car,east,low
20.03,0.348,23.04,59,0,11.3,mortgage,car,south,high
10.2,0.22,30.9,41,1,3.9,rent,medical,south,low
24.26,0.355,15.03,31,2,7.1,rent,education,north,low
26.09,0.276,15.53,96,2,6.7,mortgage,education,west,low
3.5,0.521,7.87,73,1,16.6,own,car,west,low
26.42,0.402,25.88,212,0,20.3,rent,car,south,high
28.11,0.436,15.77,210,1,2.1,rent,car,east,high
12.38,0.417,15.22,69,0,17.0,mortgage,education,south,low
20.94,0.368,19.55,41,0,5.5,own,education,west,low
18.92,0.452,20.75,50,1,9.1,rent,working_capital,west,low
16.88,0.656,21.88,67,0,0.7,mortgage,working_capital,east,low
23.66,0.417,24.62,134,1,12.3,mortgage,medical,west,low
14.96,0.46,25.82,229,1,11.3,rent,working_capital,west,low
32.95,0.334,26.33,201,0,16.5,rent,working_capital,west,low
9.29,0.431,30.14,120,0,8.8,rent,consumer,east,low
33.75,0.152,20.71,165,0,5.7,mortgage,car,north,low
14.99,0.466,27.86,199,2,13.1,rent,medical,east,high
15.38,0.273,15.49,73,1,1.0,mortgage,working_capital,south,high
13.56,0.376,26.07,39,0,0.0,mortgage,education,west,low
18.82,0.638,20.98,52,0,15.6,mortgage,medical,west,low
24.22,0.43,39.39,191,1,0.0,rent,education,west,low
20.24,0.312,20.61,48,0,2.7,mortgage,consumer,north,low
26.87,0.491,24.01,173,0,2.6,own,car,north,low
19.56,0.359,31.55,35,4,11.1,rent,car,south,high
21.28,0.724,31.95,239,1,17.1,rent,medical,west,low
24.64,0.338,31.96,49,1,5.7,mortgage,consumer,north,low
21.64,0.553,27.72,25,0,3.6,mortgage,medical,south,low
26.27,0.329,16.46,76,0,4.9,rent,car,south,low
13.19,0.196,24.52,59,1,10.0,mortgage,consumer,south,low
6.46,0.255,32.41,203,0,10.0,mortgage,car,east,low
25.32,0.274,30.66,36,0,13.3,rent,education,east,low
31.06,0.366,12.99,233,0,8.5,own,car,north,low
17.13,0.325,16.46,124,0,4.9,mortgage,working_capital,north,low
3.5,0.02,25.34,200,2,8.5,rent,car,west,low
7.83,0.051,21.97,172,1,1.0,mortgage,consumer,north,low
11.83,0.297,7.72,8,1,6.8,own,consumer,east,low
18.04,0.394,20.79,7,4,8.9,mortgage,medical,east,low
29.44,0.338,15.17,92,0,11.5,mortgage,working_capital,south,low
22.45,0.315,35.33,55,0,7.7,rent,working_capital,south,low
20.32,0.397,23.42,142,0,2.2,rent,working_capital,east,low
24.36,0.535,14.42,59,0,2.3,mortgage,consumer,west,low
17.54,0.139,14.27,46,0,4.7,rent,medical,west,low
18.38,0.462,33.62,24,2,8.6,mortgage,working_capital,west,low
3.5,0.2,21.22,235,1,11.6,mortgage,working_capital,east,low
6.01,0.341,27.97,161,1,7.3,mortgage,education,south,high
14.89,0.327,29.49,86,0,9.4,mortgage,working_capital,west,low
11.11,0.868,23.44,198,3,5.1,mortgage,working_capital,east,low
23.24,0.07,44.12,133,2,7.6,mortgage,education,west,low
30.32,0.518,20.38,142,2,3.0,rent,medical,west,low
14.03,0.366,28.0,171,0,17.3,rent,working_capital,south,low
39.64,0.353,15.42,7,3,1.3,mortgage,consumer,north,low
14.11,0.349,6.99,118,2,9.1,mortgage,working_capital,east,low
18.47,0.452,19.53,158,0,2.0,rent,medical,west,low
17.04,0.305,21.72,192,1,5.9,own,working_capital,south,low
17.26,0.45,24.22,105,1,7.4,mortgage,working_capital,south,low
18.18,0.02,16.27,181,1,1.9,rent,working_capital,south,low
19.48,0.282,23.83,111,1,8.2,own,car,south,low
13.13,0.317,18.65,122,1,1.8,rent,medical,east,low
9.51,0.298,23.64,90,0,6.1,own,working_capital,west,low
36.07,0.593,7.88,165,3,8.2,rent,medical,east,low
27.21,0.075,22.55,114,1,13.4,own,car,south,low
20.94,0.271,36.69,186,1,1.8,mortgage,working_capital,west,low
21.27,0.851,38.15,13,1,6.2,rent,consumer,south,low
22.8,0.486,30.61,100,0,1.0,mortgage,car,east,low
15.25,0.386,24.98,115,0,4.5,own,medical,west,low
11.64,0.421,43.17,188,0,9.5,rent,consumer,east,low
9.89,0.458,22.27,86,1,7.5,rent,car,west,low
4.58,0.397,18.81,132,0,9.9,rent,education,east,low
35.43,0.138,34.11,144,3,7.8,mortgage,education,north,low
31.86,0.559,23.63,73,1,6.3,rent,education,south,low
13.41,0.367,32.85,223,0,12.6,rent,working_capital,north,low
20.29,0.359,23.86,155,3,9.2,own,education,west,low
16.09,0.425,28.12,145,0,10.5,rent,medical,east,low
18.14,0.104,16.47,10,0,9.7,mortgage,car,east,low
19.53,0.208,18.28,143,0,0.0,rent,medical,south,low
15.96,0.304,24.39,205,0,6.5,mortgage,medical,west,low
20.87,0.479,10.52,64,0,8.0,rent,working_capital,south,low
17.69,0.489,15.72,149,1,3.7,own,working_capital,east,low
11.88,0.581,11.42,205,1,7.1,mortgage,car,south,low
19.76,0.298,10.52,52,2,7.5,mortgage,medical,west,low
24.26,0.673,19.29,28,1,5.9,rent,education,east,high
16.61,0.377,21.5,5,2,9.2,rent,medical,south,low
18.46,0.201,14.09,121,1,4.9,rent,working_capital,west,low
12.43,0.356,28.34,70,1,11.9,rent,consumer,north,low
21.87,0.22,25.27,174,2,14.0,rent,working_capital,west,low
3.5,0.02,21.96,106,0,0.0,mortgage,working_capital,north,low
17.91,0.285,15.02,67,0,0.0,rent,education,east,low
18.72,0.376,24.67,99,1,0.0,rent,consumer,east,low
6.83,0.307,33.63,27,2,6.5,own,consumer,south,high
21.56,0.32,28.47,128,1,14.3,rent,working_capital,south,low
14.67,0.492,7.32,82,1,8.1,rent,car,east,low
9.86,0.593,24.96,209,0,10.2,own,consumer,south,low
19.8,0.188,15.58,126,2,9.9,mortgage,car,south,low
24.42,0.292,28.33,60,2,5.5,rent,consumer,north,low
4.37,0.344,26.16,92,0,10.6,mortgage,consumer,south,low
10.08,0.806,22.16,164,2,10.5,rent,working_capital,north,high
23.53,0.267,17.61,107,0,1.2,rent,working_capital,south,low
30.48,0.266,13.57,206,0,12.5,own,medical,south,low
17.49,0.498,19.46,174,0,9.9,rent,consumer,east,low
23.91,0.222,9.98,14,0,2.3,rent,car,north,low
12.96,0.465,16.21,238,1,8.3,rent,education,west,low
12.55,0.749,33.48,228,0,7.3,mortgage,education,west,low
13.83,0.294,3.99,95,1,8.9,rent,medical,west,low
19.72,0.372,2.0,96,1,1.4,own,car,east,high
18.54,0.646,26.27,170,2,4.7,mortgage,car,north,low
26.84,0.565,11.42,109,1,6.9,mortgage,car,east,low
25.01,0.471,12.19,216,1,12.3,own,consumer,east,low
11.08,0.685,15.83,158,0,8.2,rent,car,south,high
27.93,0.582,4.19,3,0,2.3,rent,education,south,low
14.45,0.31,38.77,236,3,4.0,rent,car,west,high
3.5,0.202,25.7,203,1,1.9,mortgage,medical,south,low
18.19,0.432,25.7,163,0,2.8,mortgage,medical,north,low
24.74,0.225,20.88,232,0,3.4,mortgage,education,west,low
7.31,0.553,43.29,13,1,11.5,rent,working_capital,north,high
17.9,0.413,33.26,74,1,17.8,rent,working_capital,west,low
18.35,0.197,7.85,129,0,3.1,own,medical,west,low
11.52,0.121,2.0,118,0,4.9,rent,education,east,low
18.2,0.104,20.76,183,0,4.9,rent,medical,east,low
26.16,0.383,19.82,206,4,3.5,rent,working_capital,north,high
9.72,0.687,2.0,85,1,1.2,mortgage,consumer,east,high
25.22,0.32,12.64,113,1,7.4,mortgage,consumer,east,low
22.34,0.02,36.37,105,0,1.0,rent,education,north,low
9.14,0.696,14.33,51,1,5.6,mortgage,working_capital,north,low
22.3,0.318,19.93,83,1,6.0,rent,medical,west,low
24.43,0.231,19.06,86,2,0.0,rent,consumer,north,low
15.41,0.662,33.0,84,1,3.7,rent,working_capital,east,high
17.72,0.313,27.6,229,0,6.1,mortgage,working_capital,west,low
10.48,0.612,21.02,156,2,7.2,mortgage,education,north,low
25.17,0.02,33.75,92,2,5.6,mortgage,education,south,low
16.04,0.763,29.67,186,1,16.3,rent,medical,south,high
23.95,0.525,25.44,185,1,7.5,mortgage,education,east,low
18.5,0.263,31.17,87,0,8.7,mortgage,working_capital,north,low
17.95,0.26,27.1,86,0,4.1,rent,consumer,north,high
15.17,0.153,32.15,181,0,9.2,own,education,north,low
33.22,0.231,11.58,49,2,8.9,own,medical,north,low
23.03,0.522,24.75,185,2,7.3,own,consumer,south,low
23.52,0.545,15.7,97,1,10.3,mortgage,car,south,low
16.93,0.26,14.42,172,0,11.4,mortgage,working_capital,east,low
22.68,0.324,7.63,159,1,10.4,mortgage,car,west,low
8.69,0.099,30.48,22,0,5.9,rent,car,south,low
18.77,0.405,36.42,43,1,8.6,rent,consumer,north,high
18.41,0.45,12.56,86,1,1.6,rent,car,east,high
14.8,0.585,35.04,138,1,12.3,rent,car,west,low
18.01,0.02,9.23,55,1,2.4,mortgage,car,south,low
15.82,0.35,21.54,102,2,2.5,rent,working_capital,south,low
9.48,0.235,7.94,45,1,2.9,mortgage,car,south,low
7.75,0.507,7.06,3,2,5.5,rent,education,east,high
23.05,0.311,13.62,60,0,11.4,rent,consumer,west,low
12.41,0.449,30.13,199,2,2.0,rent,education,east,low
22.77,0.573,3.0,71,0,2.6,rent,medical,west,low
5.35,0.185,26.93,95,0,15.7,own,medical,east,low
3.5,0.538,3.79,75,3,3.0,mortgage,medical,west,low
21.69,0.647,16.75,173,0,5.1,rent,education,east,low
16.25,0.435,16.49,62,2,7.2,rent,car,east,low
21.53,0.446,29.74,148,2,0.0,rent,medical,west,low
11.83,0.262,34.96,8,1,6.7,mortgage,consumer,south,low
16.61,0.45,2.0,205,3,12.8,rent,consumer,north,low
21.92,0.453,10.04,189,5,4.3,own,consumer,west,low
17.94,0.517,17.75,235,4,3.5,rent,car,north,high
21.47,0.387,18.76,123,3,7.9,mortgage,education,south,low
3.5,0.437,11.91,87,1,8.9,rent,working_capital,north,high
21.48,0.419,42.8,172,0,5.3,rent,medical,north,low
15.25,0.15,4.26,37,2,11.1,mortgage,consumer,south,low
25.45,0.244,35.43,96,1,5.7,mortgage,education,west,low
26.35,0.547,20.52,196,3,6.4,rent,education,east,low
18.99,0.546,27.23,231,2,2.5,rent,education,east,low
13.61,0.506,23.08,85,0,3.3,rent,medical,north,low
18.25,0.261,32.57,89,1,7.0,rent,medical,south,high
8.32,0.276,22.57,162,0,0.0,rent,education,west,high
13.42,0.358,19.6,20,1,7.0,rent,medical,north,high
7.96,0.454,25.25,142,0,0.0,mortgage,medical,east,low
11.93,0.129,33.57,19,0,7.0,mortgage,education,south,low
15.3,0.471,17.09,44,0,2.9,mortgage,working_capital,north,low
22.96,0.531,13.62,18,1,5.5,own,education,south,high
25.44,0.02,14.65,109,1,5.2,rent,car,south,low
9.49,0.46,13.81,48,1,12.7,mortgage,consumer,east,low
19.98,0.226,13.94,176,1,6.3,rent,car,north,low
30.43,0.504,9.98,162,2,3.4,mortgage,working_capital,south,low
19.87,0.419,27.07,173,1,6.9,mortgage,education,east,low
21.22,0.299,4.86,137,2,5.4,mortgage,education,north,low
25.2,0.532,28.41,181,0,7.2,mortgage,car,south,low
8.69,0.303,18.1,72,0,0.0,mortgage,working_capital,west,low
6.17,0.337,9.44,214,2,11.2,rent,education,west,low
19.35,0.214,17.69,159,0,7.2,rent,working_capital,north,low
24.16,0.484,28.79,189,0,6.1,rent,medical,west,low
20.25,0.156,2.0,29,2,4.4,rent,car,south,high
4.88,0.056,30.23,12,1,5.4,rent,education,south,low
24.0,0.372,29.58,60,1,12.3,mortgage,consumer,east,low
17.35,0.127,49.39,19,1,10.5,mortgage,consumer,west,high
22.82,0.11,25.87,106,1,9.9,rent,medical,west,low
18.05,0.514,21.55,178,0,1.0,own,consumer,west,low
18.78,0.437,13.15,161,2,10.3,own,education,south,low
