近30天登录天数,核心功能使用次数,团队成员数,当前套餐,客服咨询次数,月活跃时长_小时,自动化流程数,所属行业,数据量_GB,升级建议
5,29,6,免费版,1,18.8,3,电商,24.92,保留当前套餐
12,23,11,专业版,0,13.3,3,医疗,0.5,保留当前套餐
28,23,11,专业版,4,1.0,5,电商,12.15,保留当前套餐
24,29,2,基础版,2,19.6,4,教育,13.15,升级专业版
30,22,12,免费版,2,18.5,4,教育,18.64,升级专业版
27,21,4,免费版,3,17.0,5,医疗,23.25,升级专业版
30,22,8,专业版,1,32.9,3,咨询服务,9.93,升级专业版
8,28,13,免费版,1,1.0,7,教育,7.88,保留当前套餐
26,20,21,基础版,3,30.8,13,咨询服务,31.65,升级专业版
22,28,2,专业版,4,33.8,6,教育,22.28,保留当前套餐
12,23,8,基础版,0,16.8,6,教育,34.39,保留当前套餐
27,19,8,基础版,3,17.0,5,制造,24.76,升级专业版
2,24,39,免费版,1,26.4,3,教育,18.53,保留当前套餐
18,31,17,免费版,2,31.0,9,教育,13.59,升级专业版
5,25,34,免费版,0,18.6,6,教育,16.63,保留当前套餐
15,23,10,免费版,3,13.8,6,教育,20.75,保留当前套餐
3,33,3,基础版,5,32.2,5,教育,42.64,保留当前套餐
8,20,10,免费版,0,38.6,9,咨询服务,29.69,升级专业版
18,27,10,基础版,4,26.9,4,医疗,10.0,保留当前套餐
30,22,36,免费版,2,8.0,5,咨询服务,10.42,升级专业版
30,25,5,免费版,2,1.0,4,制造,34.18,升级专业版
15,21,13,基础版,0,20.5,4,电商,35.46,升级专业版
13,14,5,免费版,1,7.1,4,教育,16.01,保留当前套餐
2,26,34,免费版,0,5.8,8,医疗,1.75,保留当前套餐
18,24,5,免费版,1,20.9,5,电商,20.44,保留当前套餐
9,27,2,基础版,2,3.5,7,电商,20.74,保留当前套餐
20,24,8,基础版,0,19.4,4,教育,21.86,保留当前套餐
14,28,24,免费版,2,23.7,4,咨询服务,29.65,保留当前套餐
12,25,38,基础版,6,23.2,9,电商,28.78,保留当前套餐
29,25,7,免费版,1,31.3,5,制造,32.38,升级企业版
4,17,9,免费版,1,29.6,6,制造,33.69,保留当前套餐
11,24,4,免费版,0,17.6,6,电商,28.57,保留当前套餐
29,25,7,免费版,1,25.4,3,教育,21.42,升级专业版
22,33,22,基础版,0,17.1,2,制造,5.23,升级专业版
12,37,3,免费版,1,1.0,4,电商,0.5,保留当前套餐
30,23,15,专业版,2,25.9,2,医疗,23.96,保留当前套餐
30,24,14,基础版,0,13.5,5,教育,19.01,升级专业版
14,14,7,免费版,0,34.1,5,电商,9.32,保留当前套餐
1,12,13,免费版,1,5.5,5,咨询服务,21.49,保留当前套餐
14,22,28,免费版,1,7.3,3,医疗,32.85,保留当前套餐
13,22,12,基础版,3,26.8,5,咨询服务,16.88,保留当前套餐
9,17,17,基础版,0,22.7,4,医疗,25.42,保留当前套餐
14,20,3,基础版,1,1.0,3,咨询服务,12.18,保留当前套餐
16,27,6,免费版,4,25.4,3,咨询服务,11.71,保留当前套餐
30,22,7,免费版,1,9.3,3,咨询服务,14.14,升级专业版
10,28,3,基础版,2,6.8,2,教育,18.57,保留当前套餐
13,25,7,基础版,0,8.6,7,咨询服务,18.31,保留当前套餐
19,28,5,免费版,5,10.2,4,制造,31.32,保留当前套餐
20,25,3,基础版,4,14.3,1,电商,2.32,保留当前套餐
22,30,8,免费版,2,9.5,5,教育,46.26,升级企业版
19,26,13,基础版,2,26.0,4,教育,23.68,升级专业版
28,25,16,基础版,0,18.3,5,咨询服务,21.42,升级专业版
3,16,31,免费版,1,26.3,8,医疗,15.62,保留当前套餐
17,16,15,免费版,1,21.1,6,咨询服务,11.49,保留当前套餐
11,17,5,免费版,2,33.1,8,制造,52.66,升级专业版
2,29,6,免费版,3,6.0,5,教育,19.28,保留当前套餐
9,23,5,基础版,0,10.3,2,电商,11.67,保留当前套餐
21,20,7,免费版,1,21.8,9,电商,5.36,升级专业版
17,16,19,免费版,1,10.5,6,教育,30.85,升级专业版
13,17,16,专业版,3,9.3,5,医疗,3.78,保留当前套餐
9,23,14,基础版,3,14.1,3,电商,27.95,保留当前套餐
21,28,71,免费版,0,9.1,6,制造,23.33,升级专业版
10,18,30,免费版,3,9.8,4,咨询服务,20.78,保留当前套餐
11,21,4,免费版,0,16.3,7,电商,23.54,保留当前套餐
12,21,8,基础版,1,18.8,9,咨询服务,2.48,保留当前套餐
29,27,2,基础版,0,22.4,2,医疗,9.07,升级专业版
29,23,10,专业版,2,18.8,8,教育,39.32,升级专业版
6,28,6,免费版,2,8.1,4,电商,27.23,保留当前套餐
28,22,8,基础版,2,27.0,5,教育,0.5,升级专业版
7,23,7,基础版,1,9.3,1,咨询服务,10.21,保留当前套餐
6,23,8,基础版,3,23.4,3,医疗,9.63,保留当前套餐
12,23,10,免费版,1,30.8,8,咨询服务,16.83,升级专业版
4,24,13,免费版,2,20.4,4,医疗,20.93,保留当前套餐
17,15,8,免费版,4,25.1,4,制造,3.08,保留当前套餐
4,15,12,基础版,1,6.4,4,咨询服务,3.35,保留当前套餐
11,15,9,基础版,1,23.8,5,咨询服务,6.64,保留当前套餐
9,13,24,专业版,0,23.8,4,教育,20.64,保留当前套餐
15,32,17,免费版,1,20.4,2,制造,33.65,升级专业版
22,24,9,基础版,1,11.4,6,制造,0.5,升级专业版
10,21,23,基础版,0,14.0,5,制造,12.68,保留当前套餐
8,21,7,免费版,1,14.5,4,咨询服务,29.62,保留当前套餐
25,15,13,专业版,2,25.0,6,咨询服务,17.28,保留当前套餐
23,20,15,免费版,2,24.0,4,电商,29.73,升级专业版
7,22,20,免费版,0,8.9,3,教育,29.33,保留当前套餐
3,18,13,基础版,0,13.6,2,电商,20.81,保留当前套餐
4,29,19,免费版,1,7.5,5,教育,32.14,保留当前套餐
2,25,12,基础版,1,9.9,4,电商,7.97,保留当前套餐
21,22,12,基础版,2,15.4,6,教育,28.43,保留当前套餐
25,25,7,免费版,1,28.3,6,电商,21.59,升级企业版
3,21,2,免费版,2,3.3,4,教育,10.25,保留当前套餐
23,23,12,基础版,1,28.1,5,电商,13.93,升级专业版
9,26,8,免费版,5,20.1,4,教育,12.4,保留当前套餐
9,19,4,基础版,1,8.9,2,医疗,9.29,保留当前套餐
28,18,1,免费版,0,23.5,3,制造,0.5,保留当前套餐
10,24,29,专业版,0,17.6,6,教育,18.3,保留当前套餐
6,28,18,免费版,1,21.0,8,电商,32.01,保留当前套餐
28,17,3,基础版,3,20.0,5,电商,23.34,升级专业版
13,14,24,基础版,1,19.2,5,教育,10.01,保留当前套餐
11,21,2,基础版,1,16.6,4,电商,19.86,保留当前套餐
19,21,4,专业版,3,21.0,5,教育,11.18,保留当前套餐
22,30,5,免费版,0,15.4,7,电商,4.6,升级专业版
14,22,20,基础版,2,24.6,10,电商,38.41,保留当前套餐
8,19,23,免费版,2,28.0,3,教育,23.85,保留当前套餐
30,17,13,基础版,1,34.8,5,咨询服务,19.54,升级专业版
18,25,3,基础版,2,35.9,3,教育,15.14,保留当前套餐
9,16,13,免费版,2,21.2,4,医疗,9.93,保留当前套餐
21,14,6,基础版,1,7.4,4,咨询服务,23.15,保留当前套餐
10,24,12,免费版,3,20.7,1,医疗,27.46,保留当前套餐
15,22,7,专业版,2,23.2,5,制造,9.09,保留当前套餐
30,18,6,专业版,3,25.4,4,医疗,45.22,升级专业版
28,32,5,基础版,3,40.4,7,医疗,31.62,升级专业版
25,19,15,免费版,2,34.1,1,制造,20.26,升级专业版
30,19,90,专业版,1,4.5,2,咨询服务,34.36,升级专业版
9,21,6,基础版,1,15.2,5,医疗,26.03,保留当前套餐
15,26,7,专业版,3,10.3,8,制造,8.5,保留当前套餐
28,16,8,专业版,1,20.2,3,制造,29.33,升级专业版
13,24,5,免费版,2,19.8,3,电商,8.04,保留当前套餐
27,23,2,基础版,1,33.6,3,医疗,21.92,升级专业版
30,24,8,免费版,1,16.5,4,电商,0.5,升级专业版
12,13,7,专业版,2,14.5,3,电商,33.89,保留当前套餐
23,21,27,免费版,1,26.6,4,电商,11.37,升级专业版
10,26,22,专业版,0,29.2,5,制造,7.77,保留当前套餐
11,19,16,免费版,4,26.5,7,电商,28.41,保留当前套餐
24,26,22,免费版,1,14.3,0,医疗,7.46,升级专业版
5,28,21,免费版,0,17.3,2,教育,7.95,保留当前套餐
17,27,6,基础版,5,40.5,5,咨询服务,19.69,升级专业版
30,17,5,基础版,3,42.0,4,咨询服务,17.87,升级专业版
22,22,6,基础版,1,11.9,3,制造,18.22,升级专业版
10,23,3,免费版,0,25.0,4,电商,23.59,保留当前套餐
28,28,10,基础版,2,16.2,3,制造,14.61,升级专业版
14,22,10,免费版,3,11.4,6,制造,27.08,保留当前套餐
19,30,6,免费版,2,16.0,7,电商,1.64,升级专业版
1,15,7,基础版,1,23.8,7,咨询服务,30.72,保留当前套餐
25,19,5,免费版,2,28.2,2,咨询服务,12.25,升级专业版
14,27,13,免费版,2,11.3,6,咨询服务,9.39,保留当前套餐
10,23,3,免费版,3,11.9,3,电商,32.58,保留当前套餐
16,20,5,专业版,1,8.7,5,咨询服务,18.06,保留当前套餐
7,22,54,基础版,1,15.1,5,电商,0.5,保留当前套餐
14,20,12,专业版,1,32.8,6,医疗,11.86,保留当前套餐
18,29,8,基础版,1,43.7,1,制造,16.7,升级专业版
2,21,12,免费版,1,14.2,5,电商,2.74,保留当前套餐
8,21,21,免费版,1,16.1,6,咨询服务,14.2,保留当前套餐
11,21,5,免费版,2,18.3,4,咨询服务,31.67,保留当前套餐
4,18,4,免费版,0,26.8,4,教育,18.46,保留当前套餐
26,26,7,免费版,1,18.7,6,咨询服务,24.19,升级专业版
16,24,7,免费版,1,13.7,5,电商,19.78,升级专业版
16,18,2,基础版,4,24.2,7,咨询服务,9.05,保留当前套餐
4,21,1,基础版,3,27.8,0,咨询服务,21.84,保留当前套餐
15,24,9,基础版,0,23.0,3,咨询服务,23.6,保留当前套餐
30,27,8,基础版,2,24.3,7,医疗,14.51,升级专业版
7,27,14,基础版,2,12.6,4,制造,11.32,保留当前套餐
11,27,15,免费版,0,33.5,5,教育,13.76,升级专业版
23,24,18,专业版,1,20.6,1,教育,31.44,保留当前套餐
15,35,2,免费版,2,26.3,3,教育,34.98,升级专业版
25,24,20,专业版,1,23.7,4,教育,7.56,保留当前套餐
8,28,6,免费版,2,24.5,3,医疗,16.04,保留当前套餐
7,16,7,免费版,0,20.7,7,医疗,11.97,保留当前套餐
21,13,4,免费版,0,2.9,6,咨询服务,15.67,保留当前套餐
18,20,33,免费版,1,7.3,4,电商,7.87,保留当前套餐
30,22,2,基础版,0,41.5,7,咨询服务,13.53,升级专业版
30,27,13,免费版,0,10.5,3,教育,16.99,升级专业版
30,17,46,专业版,4,29.2,8,咨询服务,27.67,升级专业版
27,28,19,专业版,2,7.8,3,制造,21.99,保留当前套餐
30,21,6,专业版,3,10.9,5,制造,23.57,保留当前套餐
13,24,3,免费版,0,20.7,3,咨询服务,16.01,保留当前套餐
11,24,8,免费版,3,3.6,5,电商,5.44,保留当前套餐
18,22,4,免费版,7,27.3,12,教育,22.81,升级专业版
13,23,6,基础版,1,15.0,3,电商,26.55,保留当前套餐
4,28,20,免费版,2,15.2,6,医疗,13.99,保留当前套餐
30,26,10,专业版,2,14.0,4,制造,15.26,保留当前套餐
24,19,6,免费版,3,13.4,6,制造,0.5,升级专业版
29,32,71,免费版,1,30.9,3,咨询服务,0.5,升级专业版
16,25,13,免费版,2,16.9,3,医疗,13.55,保留当前套餐
28,20,18,免费版,2,21.0,4,教育,22.52,升级专业版
2,23,21,基础版,3,21.2,5,电商,1.13,保留当前套餐
30,33,8,基础版,2,26.9,4,医疗,27.04,升级企业版
7,20,28,专业版,2,10.9,5,制造,19.01,保留当前套餐
19,28,21,免费版,3,10.6,7,咨询服务,24.24,保留当前套餐
29,32,4,免费版,0,19.1,3,教育,4.27,升级专业版
30,19,8,免费版,0,35.6,3,教育,27.69,升级企业版
12,26,3,免费版,1,27.8,3,咨询服务,13.94,保留当前套餐
20,25,9,免费版,2,22.1,3,制造,22.15,升级专业版
14,24,5,免费版,0,8.1,5,电商,16.8,保留当前套餐
8,17,7,专业版,3,20.9,0,医疗,3.51,保留当前套餐
15,19,8,基础版,2,21.2,6,医疗,11.34,保留当前套餐
28,25,6,免费版,1,18.5,8,教育,19.07,升级企业版
3,18,12,免费版,0,3.2,5,医疗,0.63,保留当前套餐
28,18,10,专业版,2,31.9,2,教育,31.3,升级专业版
12,23,13,免费版,3,11.3,2,咨询服务,0.5,保留当前套餐
10,20,12,基础版,0,10.5,4,教育,38.3,保留当前套餐
18,19,7,免费版,2,20.1,3,电商,26.23,保留当前套餐
7,29,11,免费版,2,15.2,5,制造,16.14,保留当前套餐
28,19,4,基础版,6,17.7,2,医疗,11.98,升级专业版
19,20,58,基础版,0,29.3,1,教育,8.22,升级专业版
21,22,3,免费版,3,13.0,4,教育,30.39,升级专业版
30,21,5,免费版,1,21.1,6,咨询服务,32.73,升级专业版
9,35,11,免费版,2,20.6,1,咨询服务,30.67,保留当前套餐
14,16,9,免费版,3,16.6,5,医疗,21.92,保留当前套餐
15,18,26,基础版,1,19.0,10,教育,21.37,保留当前套餐
6,31,18,免费版,1,15.0,3,电商,35.15,保留当前套餐
15,20,14,免费版,3,33.2,2,咨询服务,15.84,保留当前套餐
12,22,7,免费版,2,9.4,5,电商,17.14,保留当前套餐
8,27,16,免费版,2,28.8,5,医疗,23.15,保留当前套餐
2,22,3,基础版,2,11.5,7,制造,8.77,保留当前套餐
18,23,7,基础版,1,21.1,3,教育,26.56,保留当前套餐
24,23,19,专业版,2,11.1,4,电商,15.79,保留当前套餐
16,20,16,免费版,2,12.5,4,电商,31.3,保留当前套餐
30,22,18,免费版,2,12.7,6,教育,19.52,升级企业版
24,17,5,基础版,0,24.5,4,教育,14.98,保留当前套餐
10,18,6,免费版,2,16.0,5,教育,4.98,保留当前套餐
2,25,30,基础版,1,12.7,2,制造,8.58,保留当前套餐
21,24,12,基础版,4,20.7,6,教育,22.58,保留当前套餐
19,15,7,免费版,2,12.4,4,电商,9.92,保留当前套餐
1,35,8,基础版,0,32.3,8,咨询服务,30.39,保留当前套餐
29,27,11,基础版,0,29.5,6,教育,15.04,升级专业版
8,26,45,基础版,1,28.8,10,医疗,12.52,保留当前套餐
3,27,7,基础版,0,19.9,5,电商,26.12,保留当前套餐
2,23,12,免费版,3,12.6,3,制造,9.37,保留当前套餐
28,15,4,基础版,3,32.1,4,制造,12.61,升级专业版
13,21,1,基础版,3,15.7,5,制造,23.38,保留当前套餐
10,21,4,免费版,2,10.8,4,电商,16.88,保留当前套餐
25,20,2,专业版,1,1.0,8,咨询服务,28.39,保留当前套餐
27,22,9,免费版,3,5.9,4,电商,11.72,升级专业版
3,20,7,免费版,3,22.8,8,制造,15.56,保留当前套餐
23,25,8,免费版,0,25.7,1,电商,11.06,升级专业版
19,25,6,免费版,1,22.5,4,咨询服务,26.23,保留当前套餐
23,19,9,基础版,1,12.8,7,教育,20.38,升级专业版
8,12,7,专业版,4,1.5,7,教育,44.95,保留当前套餐
6,17,13,基础版,3,22.4,1,医疗,16.55,保留当前套餐
11,34,4,免费版,4,16.1,5,制造,1.51,保留当前套餐
22,24,19,专业版,3,17.8,2,咨询服务,4.33,保留当前套餐
29,19,11,基础版,2,30.7,5,制造,29.54,升级专业版
29,19,13,专业版,0,30.8,4,电商,9.13,升级专业版
10,22,4,基础版,2,17.1,3,医疗,0.5,保留当前套餐
12,24,3,基础版,1,21.2,2,医疗,37.43,保留当前套餐
15,21,3,基础版,2,21.9,2,制造,0.5,保留当前套餐
8,33,29,专业版,3,9.2,6,咨询服务,24.85,保留当前套餐
11,20,8,基础版,1,21.3,5,制造,6.17,保留当前套餐
13,23,18,免费版,1,16.0,3,电商,21.26,保留当前套餐
7,24,4,免费版,0,14.8,10,医疗,34.68,保留当前套餐
21,16,52,免费版,3,16.9,1,咨询服务,15.34,升级专业版
3,19,1,免费版,0,23.7,4,医疗,16.25,保留当前套餐
5,22,19,基础版,0,12.3,7,教育,19.65,保留当前套餐
21,28,6,免费版,2,14.0,5,医疗,5.19,保留当前套餐
27,27,6,免费版,5,28.5,8,教育,7.13,保留当前套餐
17,21,9,基础版,2,27.1,5,医疗,27.08,保留当前套餐
9,21,5,基础版,3,20.6,5,电商,19.04,保留当前套餐
8,15,6,专业版,3,27.2,2,电商,22.8,保留当前套餐
24,28,6,基础版,2,18.5,5,制造,6.72,升级专业版
1,27,5,免费版,3,9.9,7,教育,17.8,保留当前套餐
5,20,4,专业版,2,7.2,4,咨询服务,9.36,保留当前套餐
22,23,22,基础版,3,28.8,1,制造,10.48,保留当前套餐
12,24,4,免费版,2,12.3,3,制造,24.1,保留当前套餐
28,19,16,专业版,0,17.6,5,制造,35.71,保留当前套餐
1,18,17,免费版,1,21.3,3,制造,5.15,保留当前套餐
24,18,2,基础版,3,28.3,4,医疗,22.15,升级专业版
25,21,24,基础版,3,27.6,7,电商,9.16,升级专业版
18,20,11,专业版,0,11.4,2,医疗,10.59,保留当前套餐
5,23,9,专业版,2,21.3,2,制造,26.18,保留当前套餐
29,22,2,基础版,0,25.7,6,咨询服务,12.56,升级专业版
2,25,8,专业版,0,19.1,2,教育,6.33,保留当前套餐
12,30,29,免费版,0,17.4,4,咨询服务,17.3,保留当前套餐
1,18,27,基础版,2,5.5,6,咨询服务,20.84,保留当前套餐
2,17,5,专业版,0,35.8,7,医疗,25.64,保留当前套餐
23,39,9,基础版,2,13.1,2,制造,5.67,升级专业版
27,18,5,免费版,0,20.1,4,咨询服务,26.27,升级专业版
28,34,8,免费版,1,37.4,3,制造,51.43,升级企业版
24,20,6,免费版,4,17.8,8,教育,15.75,升级专业版
24,29,7,免费版,1,1.0,2,咨询服务,17.01,升级专业版
15,26,29,专业版,3,25.4,4,制造,10.85,保留当前套餐
16,27,18,基础版,0,13.9,1,教育,27.06,升级专业版
30,26,11,免费版,0,9.9,3,教育,14.48,升级专业版
30,22,19,基础版,1,11.2,0,教育,3.81,升级专业版
14,21,20,基础版,4,22.6,4,医疗,13.25,保留当前套餐
6,21,6,免费版,1,19.9,5,电商,27.04,保留当前套餐
8,11,6,基础版,1,1.5,2,电商,24.13,保留当前套餐
24,27,34,基础版,0,1.0,2,电商,17.28,升级专业版
5,28,7,免费版,1,24.3,5,医疗,11.33,保留当前套餐
30,21,26,专业版,3,26.0,1,电商,13.15,保留当前套餐
7,20,5,基础版,1,37.1,8,咨询服务,20.15,保留当前套餐
16,24,23,基础版,0,25.0,4,教育,7.06,保留当前套餐
11,25,2,免费版,2,16.6,7,电商,3.13,保留当前套餐
6,23,12,免费版,2,14.4,4,电商,6.91,保留当前套餐
5,25,33,免费版,0,16.3,3,咨询服务,19.93,保留当前套餐
28,27,12,基础版,2,18.2,3,教育,8.83,升级专业版
14,28,9,基础版,4,9.0,7,教育,22.53,保留当前套餐
9,26,3,免费版,2,10.0,6,医疗,21.25,保留当前套餐
9,22,6,免费版,1,9.0,4,医疗,19.59,保留当前套餐
23,26,15,免费版,6,38.1,3,医疗,0.5,保留当前套餐
17,27,7,基础版,5,1.0,3,制造,0.5,保留当前套餐
15,22,11,免费版,1,12.9,5,教育,5.6,保留当前套餐
13,20,22,基础版,2,15.1,5,医疗,7.1,保留当前套餐
19,17,31,专业版,1,27.1,8,教育,13.24,保留当前套餐
4,29,2,基础版,2,40.4,4,教育,22.81,保留当前套餐
7,21,14,专业版,1,10.7,5,咨询服务,26.31,保留当前套餐
16,19,3,专业版,2,23.1,8,咨询服务,23.2,保留当前套餐
20,18,6,基础版,0,20.8,6,医疗,24.64,保留当前套餐
17,26,48,基础版,2,36.7,4,制造,31.31,升级专业版
17,27,26,基础版,2,19.2,6,医疗,11.09,升级专业版
22,21,6,专业版,2,23.2,5,教育,0.5,保留当前套餐
13,26,7,专业版,0,2.8,5,咨询服务,11.9,保留当前套餐
12,16,12,基础版,2,22.9,4,制造,34.55,保留当前套餐
10,20,8,免费版,3,20.5,6,咨询服务,29.96,保留当前套餐
13,22,20,基础版,1,13.7,7,制造,20.12,保留当前套餐
11,28,14,免费版,0,25.4,4,电商,5.44,保留当前套餐
25,19,20,免费版,3,16.2,8,电商,13.87,升级专业版
1,24,16,基础版,0,20.7,3,电商,9.98,保留当前套餐
16,27,6,免费版,4,31.6,4,咨询服务,0.55,保留当前套餐
30,30,12,免费版,2,25.2,5,咨询服务,13.7,升级专业版
8,16,15,免费版,3,7.2,4,咨询服务,32.88,保留当前套餐
2,20,11,免费版,2,26.4,4,医疗,5.49,保留当前套餐
5,25,17,专业版,1,31.9,4,教育,38.71,保留当前套餐
1,24,6,基础版,1,11.6,1,咨询服务,11.19,保留当前套餐
25,19,3,基础版,3,34.8,6,电商,0.5,保留当前套餐
16,23,18,基础版,0,18.2,4,医疗,24.43,保留当前套餐
22,21,19,免费版,4,6.6,2,教育,12.63,保留当前套餐
30,28,2,基础版,2,35.2,8,教育,24.68,升级专业版
27,32,42,专业版,1,23.1,2,制造,29.28,升级专业版
13,23,8,免费版,2,8.3,4,教育,19.88,保留当前套餐
5,20,4,基础版,1,10.8,5,医疗,16.48,保留当前套餐
22,24,6,专业版,3,18.7,6,医疗,36.38,保留当前套餐
30,25,5,专业版,3,2.0,6,电商,24.57,升级专业版
11,24,21,基础版,1,27.1,7,医疗,25.39,保留当前套餐
2,18,3,免费版,2,26.9,3,制造,17.23,保留当前套餐
19,23,4,免费版,3,4.8,9,咨询服务,40.34,升级专业版
4,25,5,免费版,1,4.6,4,电商,16.54,保留当前套餐
5,25,21,免费版,0,11.5,3,教育,31.05,保留当前套餐
5,15,9,基础版,1,18.4,4,制造,19.33,保留当前套餐
22,15,8,基础版,4,18.4,2,教育,22.97,保留当前套餐
7,25,17,专业版,3,16.6,4,医疗,21.55,保留当前套餐
11,21,7,免费版,0,21.4,4,咨询服务,12.18,保留当前套餐
26,25,6,免费版,1,10.4,5,教育,35.71,升级专业版
20,21,3,专业版,3,15.5,11,制造,7.67,保留当前套餐
16,27,11,专业版,2,21.9,4,教育,33.75,保留当前套餐
16,22,6,免费版,2,31.2,5,医疗,3.82,保留当前套餐
5,22,9,基础版,2,19.3,3,电商,11.26,保留当前套餐
24,18,25,基础版,1,23.5,2,医疗,22.37,升级专业版
8,32,9,基础版,0,7.0,3,制造,28.01,保留当前套餐
13,24,9,基础版,1,1.0,5,咨询服务,27.92,保留当前套餐
29,24,14,基础版,2,8.9,2,教育,31.0,升级专业版
10,27,8,专业版,0,27.6,1,教育,20.42,保留当前套餐
28,39,51,免费版,3,17.5,3,电商,27.97,升级企业版
25,18,7,专业版,1,19.0,5,制造,20.09,保留当前套餐
15,20,10,免费版,1,23.1,8,医疗,22.2,升级专业版
30,23,14,基础版,2,5.5,5,电商,5.21,升级专业版
16,20,29,专业版,2,21.5,5,教育,0.5,保留当前套餐
20,22,4,免费版,0,18.5,6,医疗,21.41,升级专业版
10,27,8,基础版,4,5.6,7,医疗,11.83,保留当前套餐
16,28,9,专业版,3,23.0,6,电商,46.29,保留当前套餐
23,22,7,基础版,1,27.2,2,电商,40.54,升级专业版
8,11,26,基础版,1,18.2,3,教育,10.57,保留当前套餐
30,19,18,免费版,3,16.1,6,电商,26.62,升级企业版
27,24,3,免费版,0,3.8,4,医疗,5.22,升级专业版
9,24,16,基础版,0,17.4,4,医疗,21.96,保留当前套餐
20,20,9,免费版,1,26.0,4,咨询服务,13.8,升级专业版
19,19,20,免费版,3,16.8,6,医疗,1.03,保留当前套餐
20,25,6,免费版,4,29.7,5,制造,13.51,保留当前套餐
21,19,7,基础版,1,14.6,5,咨询服务,31.65,升级专业版
7,29,7,免费版,0,16.6,4,教育,24.15,保留当前套餐
23,20,16,专业版,2,22.1,1,制造,13.91,保留当前套餐
24,17,20,专业版,1,13.0,2,咨询服务,21.66,保留当前套餐
14,32,10,免费版,0,15.9,4,咨询服务,10.1,保留当前套餐
11,24,21,免费版,3,39.0,6,咨询服务,29.98,升级专业版
15,17,2,免费版,4,30.0,3,电商,19.03,保留当前套餐
4,26,16,基础版,0,26.4,8,电商,20.48,保留当前套餐
3,26,8,专业版,2,13.7,9,教育,15.66,保留当前套餐
19,22,10,专业版,0,7.3,5,医疗,20.99,保留当前套餐
20,27,6,基础版,2,14.9,11,制造,39.03,升级专业版
12,27,9,基础版,0,14.7,2,制造,25.67,保留当前套餐
2,12,24,专业版,4,19.9,4,教育,16.37,保留当前套餐
30,23,11,免费版,1,11.1,3,教育,16.41,升级专业版
30,24,27,基础版,1,13.0,4,制造,25.95,升级专业版
16,25,3,专业版,0,25.5,5,教育,35.77,保留当前套餐
14,16,10,专业版,1,20.7,1,电商,14.88,保留当前套餐
3,11,9,免费版,1,11.6,5,制造,22.23,保留当前套餐
26,27,10,免费版,1,21.3,6,教育,12.18,升级专业版
8,22,37,免费版,0,13.8,7,电商,12.12,保留当前套餐
9,21,9,基础版,2,14.9,7,咨询服务,27.24,保留当前套餐
6,22,5,专业版,5,22.6,4,教育,18.63,保留当前套餐
23,28,20,基础版,1,15.6,2,教育,22.28,升级专业版
16,15,9,基础版,1,37.5,4,制造,12.27,保留当前套餐
29,19,9,基础版,2,22.8,2,医疗,4.11,保留当前套餐
18,23,18,免费版,2,28.2,6,电商,26.2,升级专业版
16,19,13,基础版,1,20.2,3,医疗,9.38,保留当前套餐
28,24,1,免费版,3,26.1,4,咨询服务,31.48,升级专业版
23,30,8,免费版,1,17.5,7,电商,26.67,升级专业版
4,23,7,专业版,5,24.1,8,电商,31.7,保留当前套餐
12,21,4,基础版,1,13.1,4,咨询服务,14.27,保留当前套餐
23,20,12,基础版,2,27.0,4,教育,15.7,保留当前套餐
3,28,11,基础版,1,18.3,9,电商,20.9,保留当前套餐
2,29,9,免费版,3,5.2,1,教育,21.96,保留当前套餐
9,21,3,专业版,1,19.0,3,咨询服务,13.06,保留当前套餐
7,28,17,基础版,0,28.2,3,电商,38.02,保留当前套餐
25,21,6,专业版,1,21.6,6,医疗,22.43,保留当前套餐
7,25,57,基础版,1,25.3,2,医疗,9.21,保留当前套餐
15,30,22,免费版,2,4.9,6,教育,16.42,升级专业版
20,29,8,免费版,1,20.2,7,医疗,30.04,升级专业版
29,19,8,免费版,1,27.7,4,电商,3.77,升级专业版
3,24,5,免费版,2,22.9,3,电商,0.5,保留当前套餐
15,16,12,基础版,1,9.1,6,制造,18.37,保留当前套餐
23,32,2,基础版,2,10.3,6,医疗,23.63,保留当前套餐
5,18,4,免费版,0,14.3,2,教育,14.38,保留当前套餐
8,18,4,基础版,1,29.8,5,制造,6.95,保留当前套餐
29,25,2,基础版,1,5.2,2,医疗,14.18,保留当前套餐
9,24,6,免费版,1,11.6,6,医疗,0.5,保留当前套餐
24,23,6,专业版,1,16.6,8,教育,16.68,升级专业版
8,30,4,基础版,3,9.2,1,电商,8.06,保留当前套餐
16,16,44,专业版,1,7.2,1,制造,17.29,保留当前套餐
1,29,8,专业版,0,16.2,7,教育,3.87,保留当前套餐
21,16,12,免费版,1,2.9,3,咨询服务,12.31,保留当前套餐
24,25,16,免费版,2,30.1,5,医疗,19.75,升级专业版
7,26,22,基础版,1,16.5,1,电商,21.12,保留当前套餐
13,16,6,基础版,1,21.0,6,电商,13.51,保留当前套餐
3,30,6,基础版,3,13.7,8,制造,0.5,保留当前套餐
30,26,55,免费版,2,8.4,3,电商,21.64,升级专业版
27,24,13,基础版,1,19.3,2,电商,12.59,保留当前套餐
6,29,11,免费版,3,20.5,8,医疗,12.75,保留当前套餐
17,22,13,免费版,2,19.0,6,咨询服务,31.91,升级专业版
12,16,74,基础版,3,19.1,6,教育,17.11,保留当前套餐
8,21,18,基础版,1,23.4,6,制造,25.6,保留当前套餐
