claim_amount_k,claim_delay_days,policy_tenure_months,prior_claims,vehicle_age_years,premium_delay_days,accident_severity,repair_shop_type,police_report,night_accident,province,fraud_label
19.25,4,67,1,12,5,minor,network,yes,no,west,fraud
27.24,1,33,1,17,3,minor,outside,yes,yes,west,fraud
21.48,10,109,1,5,3,minor,network,yes,no,south,fraud
14.18,4,75,0,3,3,moderate,outside,yes,yes,north,legit
20.39,7,80,0,12,4,moderate,network,yes,no,east,legit
16.31,12,19,1,7,6,minor,outside,no,yes,west,fraud
0.9,5,97,3,13,1,minor,network,no,no,west,legit
25.87,7,22,1,5,1,moderate,outside,yes,no,north,legit
31.41,10,59,0,0,3,moderate,network,yes,yes,east,fraud
34.1,5,8,0,6,0,minor,network,yes,no,south,fraud
14.09,2,8,0,16,3,minor,network,yes,no,west,legit
27.22,6,119,0,11,4,moderate,outside,yes,no,west,legit
5.48,6,23,0,8,3,major,network,no,yes,east,legit
28.62,8,63,3,3,3,minor,outside,yes,no,east,legit
18.46,6,51,1,1,3,moderate,network,yes,yes,east,legit
30.21,3,33,1,16,3,moderate,network,yes,no,north,fraud
24.52,6,81,1,4,6,minor,network,yes,no,west,legit
11.27,5,113,0,10,7,major,network,no,no,south,legit
15.6,5,85,1,14,4,moderate,network,yes,yes,south,legit
14.41,9,113,2,13,1,minor,network,yes,no,east,legit
23.39,8,68,0,1,0,minor,outside,yes,no,north,legit
28.48,8,105,1,5,2,major,outside,yes,no,east,fraud
3.51,6,106,0,6,3,moderate,network,no,no,south,legit
11.84,6,10,2,3,3,minor,network,no,no,west,legit
21.88,5,114,0,1,0,major,network,yes,yes,south,legit
12.62,3,37,1,0,4,moderate,network,yes,no,north,legit
16.36,9,117,0,14,2,major,network,yes,no,south,legit
17.42,5,17,1,14,0,major,network,no,yes,north,legit
19.85,6,33,2,9,5,minor,network,no,yes,west,legit
22.83,5,66,3,4,3,major,network,yes,no,north,legit
17.4,7,24,1,14,2,minor,network,yes,yes,west,legit
21.99,7,34,2,7,4,moderate,network,yes,no,south,fraud
7.5,7,78,1,2,3,moderate,network,yes,yes,north,fraud
14.4,5,72,3,14,1,minor,network,no,yes,east,legit
13.14,6,25,2,1,3,moderate,network,yes,no,south,legit
26.44,6,108,0,2,2,moderate,network,yes,no,south,legit
15.98,2,93,0,6,6,minor,network,yes,yes,west,legit
23.13,4,60,1,3,4,moderate,network,yes,no,south,legit
0.8,3,59,1,4,3,minor,network,yes,yes,east,legit
5.81,2,98,1,11,2,moderate,outside,no,no,east,fraud
4.33,8,71,3,12,3,minor,network,yes,no,north,legit
22.89,6,84,1,17,2,minor,network,yes,yes,east,legit
11.31,7,48,0,7,2,minor,network,no,yes,south,fraud
21.71,9,5,1,8,3,minor,network,no,yes,north,legit
10.3,2,26,0,6,1,major,network,yes,no,south,legit
19.36,5,108,0,0,4,minor,outside,yes,no,south,legit
14.02,5,60,1,9,2,moderate,network,no,no,south,legit
5.77,7,106,0,8,3,moderate,network,yes,no,west,legit
24.77,9,78,1,16,4,moderate,network,yes,no,south,fraud
20.56,8,93,0,1,2,minor,outside,yes,no,east,fraud
20.71,6,68,1,17,1,moderate,network,yes,no,north,legit
21.88,6,32,1,1,3,major,outside,yes,no,north,legit
13.31,9,44,1,8,2,minor,network,yes,yes,east,fraud
18.92,7,65,1,6,1,moderate,network,yes,no,north,legit
11.44,5,6,1,5,6,moderate,network,yes,no,north,legit
22.75,8,45,2,8,3,minor,network,yes,no,west,legit
5.12,2,79,0,10,5,moderate,network,yes,no,south,legit
34.58,6,83,3,16,3,minor,network,no,no,south,legit
22.64,7,13,0,1,1,minor,network,yes,yes,north,fraud
20.93,2,62,1,14,3,major,network,yes,no,south,legit
9.41,5,71,0,10,3,moderate,network,yes,no,west,legit
33.36,7,102,0,13,6,minor,outside,yes,no,west,legit
23.29,11,110,1,6,2,minor,network,yes,yes,south,legit
26.35,8,68,1,17,3,moderate,network,yes,no,east,fraud
23.63,9,105,0,9,3,moderate,network,no,no,north,legit
24.33,6,35,0,13,3,moderate,network,yes,no,south,legit
30.2,7,104,1,8,3,moderate,network,yes,no,south,legit
17.82,5,1,0,7,5,minor,network,no,no,north,legit
21.78,8,105,0,7,3,major,outside,yes,no,south,legit
17.32,7,39,2,5,0,minor,network,no,no,east,legit
18.9,5,8,1,7,3,major,outside,yes,no,south,legit
26.92,4,26,1,1,3,major,outside,yes,yes,south,legit
31.35,3,52,0,15,0,moderate,network,yes,no,north,legit
25.6,9,60,1,0,4,major,network,yes,yes,west,legit
30.47,5,45,1,7,2,minor,outside,no,no,west,fraud
22.46,4,82,0,16,3,moderate,outside,yes,yes,west,legit
9.51,8,37,2,14,2,major,network,yes,no,east,legit
0.8,7,26,2,4,4,minor,network,yes,no,east,legit
14.93,5,96,1,12,4,moderate,outside,yes,no,south,legit
8.7,6,59,2,7,4,minor,network,yes,yes,north,legit
1.1,3,3,0,1,3,moderate,network,no,no,east,legit
25.77,8,41,0,13,3,moderate,outside,yes,yes,west,legit
22.67,13,7,1,4,2,major,network,no,no,east,legit
14.04,3,17,3,5,3,minor,outside,yes,yes,west,fraud
0.8,9,26,1,8,2,moderate,network,yes,yes,west,legit
11.13,5,24,0,5,1,major,outside,yes,no,east,legit
2.39,12,46,0,7,4,minor,network,yes,no,north,legit
27.15,6,105,2,4,3,moderate,network,yes,no,south,legit
15.76,6,65,0,10,6,moderate,outside,no,no,east,fraud
28.54,4,20,2,2,4,minor,network,no,no,north,legit
0.8,4,96,0,7,6,major,network,yes,no,west,legit
3.43,5,40,0,3,3,minor,outside,yes,yes,west,legit
23.14,10,21,0,10,5,moderate,network,no,no,north,legit
23.36,4,50,0,12,4,moderate,outside,yes,no,north,legit
9.87,8,69,0,12,3,moderate,network,yes,no,north,legit
8.27,10,70,0,12,1,moderate,network,no,yes,east,fraud
21.01,5,59,3,14,2,minor,outside,yes,no,south,fraud
15.7,13,46,1,5,4,major,outside,no,no,east,fraud
11.7,4,102,2,11,4,minor,network,no,no,south,legit
10.14,9,80,0,6,4,moderate,network,yes,yes,north,legit
23.16,7,94,0,9,2,moderate,network,no,no,west,legit
25.02,13,16,3,9,0,minor,network,yes,no,south,fraud
27.6,6,13,0,7,3,major,network,no,yes,north,fraud
27.13,5,29,3,14,5,minor,network,yes,no,east,fraud
8.87,2,23,0,1,2,major,outside,yes,no,south,legit
14.13,5,49,0,7,1,minor,network,no,no,south,fraud
28.94,7,48,1,9,3,major,outside,yes,no,south,legit
8.32,7,30,1,0,2,major,network,yes,no,south,legit
20.74,6,114,0,9,6,moderate,network,yes,no,north,legit
21.04,11,24,0,4,4,minor,network,yes,no,north,legit
11.83,6,105,1,8,4,major,outside,yes,no,west,legit
18.65,7,100,3,6,6,minor,network,yes,no,east,legit
26.09,10,49,1,16,1,moderate,outside,yes,no,north,legit
33.86,6,65,0,13,5,moderate,network,yes,no,east,legit
13.9,5,25,0,10,3,moderate,network,no,no,west,legit
14.45,7,117,0,6,3,major,network,yes,no,south,legit
20.31,6,54,0,9,3,moderate,network,yes,no,south,legit
4.39,6,5,0,1,1,moderate,network,yes,no,south,legit
17.89,4,22,3,16,1,minor,network,yes,no,north,legit
4.55,8,46,0,6,1,moderate,network,yes,no,west,legit
23.52,5,7,0,9,2,moderate,network,yes,no,north,legit
14.73,10,101,0,1,6,minor,network,yes,no,north,legit
27.72,3,35,2,15,2,moderate,network,yes,yes,east,fraud
9.31,8,51,0,8,5,major,outside,yes,no,east,legit
18.53,10,27,1,4,5,minor,outside,yes,yes,south,legit
18.92,2,11,2,15,3,moderate,network,yes,no,south,fraud
16.23,8,67,0,8,2,moderate,network,yes,no,east,legit
25.16,11,76,0,8,4,minor,network,no,no,north,fraud
9.71,10,66,2,15,4,moderate,outside,yes,yes,west,fraud
19.32,5,65,1,11,3,major,network,yes,yes,west,legit
15.92,3,3,1,4,6,moderate,network,yes,no,east,legit
11.37,6,49,1,12,3,minor,network,yes,no,east,legit
29.68,7,33,0,16,1,moderate,network,no,no,west,fraud
16.16,5,77,1,14,2,minor,network,yes,no,south,fraud
13.25,5,9,1,9,3,moderate,network,yes,no,east,legit
26.58,10,42,0,4,2,minor,network,yes,no,west,legit
14.9,6,111,1,14,6,minor,network,yes,no,south,legit
16.21,9,91,0,13,8,major,network,no,yes,west,legit
10.68,6,26,0,15,6,moderate,outside,no,no,south,legit
23.82,6,18,1,2,5,minor,network,yes,no,south,legit
23.27,7,112,0,4,3,minor,outside,yes,no,east,legit
8.94,8,110,0,17,2,moderate,network,no,yes,east,legit
7.8,8,23,0,9,3,minor,outside,yes,yes,west,fraud
21.16,5,31,1,12,1,moderate,outside,yes,yes,south,legit
22.88,9,94,1,6,2,major,network,yes,no,south,legit
13.21,8,73,1,12,3,minor,network,no,no,south,legit
21.72,7,49,0,11,7,moderate,outside,yes,yes,south,fraud
28.25,10,86,0,15,4,moderate,network,yes,no,north,legit
11.13,5,55,0,17,3,moderate,outside,yes,no,west,legit
25.07,4,11,2,17,5,minor,outside,yes,no,north,fraud
10.25,3,68,0,8,3,major,network,yes,no,west,legit
20.96,5,83,2,17,5,major,network,yes,no,north,legit
16.53,8,67,0,0,2,major,outside,yes,no,east,legit
21.11,8,120,0,8,2,minor,network,no,no,north,legit
30.88,9,41,0,11,1,minor,network,yes,no,south,legit
9.07,6,58,0,0,2,minor,network,no,yes,west,legit
4.2,5,95,3,17,2,minor,network,yes,no,east,legit
21.37,5,11,1,1,5,minor,network,yes,no,north,fraud
30.54,3,96,0,12,1,major,network,yes,no,east,fraud
15.02,8,42,1,10,3,moderate,network,yes,no,north,legit
4.95,7,19,0,14,1,major,network,yes,no,south,legit
0.8,11,46,3,10,0,minor,network,yes,no,south,legit
23.16,5,99,0,6,3,minor,outside,yes,no,north,legit
29.06,7,117,0,10,4,minor,network,no,no,east,legit
4.3,8,62,1,17,5,moderate,network,yes,no,north,fraud
8.68,6,97,0,10,4,minor,network,yes,no,south,legit
17.71,4,54,2,16,2,minor,network,yes,no,west,legit
15.03,9,75,2,14,4,major,outside,yes,yes,east,legit
23.77,9,33,1,6,1,major,network,yes,no,north,legit
26.83,6,79,0,0,2,minor,network,yes,no,east,legit
30.44,12,14,1,4,5,minor,outside,yes,no,north,legit
10.55,8,98,0,9,4,moderate,outside,no,no,west,legit
15.6,7,23,1,2,5,moderate,network,yes,yes,east,legit
27.12,8,90,1,6,1,minor,network,yes,yes,west,fraud
15.58,2,70,3,15,4,minor,network,no,no,west,fraud
17.98,7,69,1,4,3,minor,network,yes,yes,south,fraud
17.89,6,97,0,17,4,moderate,network,yes,no,west,legit
31.46,6,104,1,15,3,moderate,network,yes,yes,west,legit
35.39,7,40,1,10,6,minor,outside,no,no,east,fraud
12.55,9,44,0,17,4,minor,network,no,no,south,legit
32.67,2,73,3,4,3,minor,network,yes,yes,east,fraud
6.48,8,116,1,8,1,minor,network,yes,no,west,legit
15.69,10,83,2,9,3,minor,network,yes,no,west,legit
19.97,11,111,1,4,4,moderate,network,yes,no,west,legit
16.38,4,83,0,16,6,minor,network,no,yes,north,fraud
11.14,6,64,1,17,4,minor,outside,yes,no,north,legit
8.14,4,43,1,4,0,minor,network,no,no,south,legit
0.8,5,17,1,1,5,minor,network,yes,no,west,legit
28.91,12,59,2,15,3,moderate,network,yes,no,south,legit
34.63,4,19,1,14,2,moderate,network,yes,yes,south,fraud
14.54,3,99,2,16,3,minor,network,yes,no,west,legit
30.72,5,38,1,14,2,minor,outside,yes,no,south,legit
30.89,5,77,0,6,5,major,network,yes,no,east,legit
30.56,6,59,3,11,4,minor,network,no,no,south,fraud
0.8,6,68,0,14,3,moderate,outside,yes,no,east,legit
21.68,7,43,0,4,4,moderate,outside,yes,no,west,legit
35.88,3,50,3,10,4,moderate,outside,yes,yes,west,fraud
16.61,6,98,0,9,3,moderate,network,yes,no,south,legit
23.99,2,24,1,12,6,moderate,network,yes,no,west,fraud
16.76,2,10,2,3,3,minor,outside,yes,yes,south,fraud
26.8,6,96,1,1,3,minor,outside,yes,no,east,legit
3.17,12,59,0,16,3,minor,network,yes,yes,east,legit
1.17,7,35,0,9,6,moderate,network,yes,no,west,legit
16.78,5,114,0,11,3,moderate,network,yes,yes,west,legit
28.85,9,49,1,2,1,moderate,network,yes,no,west,fraud
16.86,6,119,1,14,8,minor,outside,yes,yes,east,legit
5.19,1,10,1,16,3,minor,network,yes,no,south,legit
25.23,7,102,1,1,4,moderate,outside,yes,no,east,fraud
21.08,6,42,1,8,4,minor,network,yes,no,east,legit
9.56,2,105,2,9,7,minor,outside,yes,yes,north,legit
22.4,6,119,2,7,2,major,network,yes,no,south,legit
34.29,9,71,1,8,3,minor,network,no,yes,west,legit
5.74,10,50,2,14,4,minor,outside,yes,yes,west,fraud
0.8,10,59,2,7,1,moderate,network,yes,no,north,legit
7.72,4,79,0,10,2,minor,network,yes,no,south,legit
11.25,5,119,1,7,2,minor,outside,yes,no,south,legit
21.85,8,104,1,9,2,minor,network,no,no,north,fraud
23.49,6,82,0,7,3,minor,outside,no,no,west,legit
9.47,4,70,1,16,1,moderate,outside,no,no,west,legit
6.89,8,101,0,7,4,minor,network,yes,yes,north,legit
0.8,7,85,0,8,3,moderate,outside,no,yes,west,legit
32.08,4,109,1,10,5,moderate,network,yes,no,east,legit
36.93,9,39,0,16,5,minor,network,yes,no,south,fraud
17.17,10,40,2,0,2,minor,network,yes,no,west,legit
26.58,6,26,1,7,1,moderate,network,yes,no,north,legit
20.16,5,28,1,1,5,minor,network,yes,no,west,fraud
18.03,7,4,0,11,3,minor,outside,yes,yes,north,legit
4.27,10,51,0,4,5,moderate,network,no,yes,north,legit
11.01,7,74,0,9,2,minor,outside,yes,yes,west,legit
13.82,4,41,2,15,2,minor,network,yes,yes,east,legit
30.29,6,16,0,3,1,minor,network,no,no,west,legit
21.28,5,101,0,8,1,moderate,outside,yes,no,south,legit
10.93,10,98,1,7,6,minor,outside,yes,no,east,legit
30.91,5,74,1,7,2,moderate,outside,yes,yes,north,legit
9.65,10,45,0,10,5,minor,outside,no,no,south,legit
17.6,11,117,1,14,5,moderate,network,no,no,south,legit
9.72,7,8,0,12,4,minor,network,yes,yes,south,legit
33.97,7,3,2,8,3,minor,network,yes,yes,west,legit
21.75,6,83,0,8,1,moderate,outside,yes,yes,east,legit
7.02,7,87,2,15,1,minor,network,yes,yes,west,legit
14.62,4,99,1,9,1,moderate,outside,yes,no,north,legit
11.62,10,50,0,17,4,moderate,network,no,no,south,legit
16.45,9,50,2,0,3,moderate,network,yes,no,west,legit
4.3,5,8,1,1,2,minor,network,yes,no,east,legit
19.45,7,78,1,0,2,minor,network,no,no,west,legit
17.17,11,83,2,2,2,moderate,network,yes,no,west,legit
21.66,9,15,2,12,3,major,outside,no,yes,west,legit
15.18,8,105,0,5,5,moderate,outside,yes,no,north,legit
8.7,9,85,2,16,2,minor,network,yes,no,north,legit
16.7,7,70,1,5,1,moderate,network,yes,no,south,legit
38.68,8,52,0,7,5,moderate,outside,yes,no,south,fraud
10.25,4,67,1,14,3,moderate,network,yes,no,south,legit
20.0,4,10,0,9,2,minor,network,yes,no,south,legit
24.41,4,87,1,2,2,moderate,network,no,no,south,legit
16.04,6,48,0,14,2,minor,network,yes,no,north,legit
29.64,10,101,2,17,5,minor,network,yes,no,north,legit
33.11,6,75,2,0,2,major,network,no,no,north,legit
17.64,6,44,3,7,4,minor,outside,no,no,north,fraud
8.14,6,111,0,12,6,minor,network,yes,no,north,legit
17.34,7,2,1,3,3,moderate,network,no,yes,north,fraud
18.0,10,81,1,7,0,major,network,no,yes,west,fraud
23.73,6,92,0,9,4,moderate,network,yes,no,east,legit
27.7,12,70,3,10,2,moderate,network,yes,yes,west,legit
27.98,3,28,1,16,2,minor,outside,yes,no,east,fraud
27.69,8,68,0,1,1,minor,network,yes,yes,west,fraud
24.09,7,85,1,5,5,moderate,network,yes,no,west,legit
0.8,2,47,3,2,2,minor,network,yes,yes,west,fraud
9.26,4,79,1,10,4,major,outside,yes,yes,north,legit
12.72,8,54,1,6,1,minor,network,yes,yes,east,legit
11.02,7,16,1,10,2,moderate,network,no,yes,south,legit
10.14,8,99,0,2,3,moderate,network,yes,no,south,legit
24.18,5,66,1,15,5,moderate,network,yes,no,west,legit
9.94,8,94,0,15,4,major,network,yes,no,north,legit
3.68,8,107,0,1,7,major,network,yes,no,south,legit
33.86,9,29,0,2,6,moderate,network,yes,no,south,fraud
22.52,6,82,0,8,2,moderate,network,yes,no,north,legit
19.92,3,85,1,1,0,minor,network,yes,no,south,legit
8.87,10,25,1,6,6,major,network,yes,no,west,legit
18.64,6,9,1,9,3,minor,network,yes,no,south,legit
26.53,6,91,1,4,4,minor,network,yes,no,south,fraud
13.0,9,97,2,11,8,major,outside,yes,no,east,fraud
18.07,7,85,2,12,3,minor,network,no,no,north,legit
6.93,12,27,0,11,6,minor,outside,no,no,north,legit
26.6,7,24,2,14,3,moderate,network,yes,no,north,legit
18.82,5,118,2,9,2,moderate,network,no,no,west,legit
18.69,10,114,1,0,4,moderate,network,yes,no,north,legit
23.52,3,40,0,2,0,moderate,outside,yes,no,west,legit
26.02,7,109,2,7,0,minor,network,yes,no,west,fraud
1.47,7,113,0,17,2,minor,network,yes,no,west,legit
2.2,3,57,0,4,1,major,outside,no,yes,south,legit
28.94,3,80,0,8,3,major,network,yes,yes,east,legit
36.77,8,48,1,16,1,minor,network,yes,no,west,legit
13.56,8,53,1,15,2,moderate,network,yes,yes,north,fraud
14.64,8,3,2,14,3,moderate,network,no,yes,east,fraud
28.56,5,31,0,2,1,minor,network,no,no,south,legit
34.16,5,63,1,14,4,minor,outside,no,yes,south,fraud
21.93,3,42,0,1,5,moderate,network,yes,no,east,legit
13.91,6,73,2,12,6,minor,network,yes,yes,north,legit
18.39,12,4,1,12,7,minor,network,yes,no,east,fraud
30.87,6,11,0,3,1,minor,network,no,no,east,legit
14.88,6,94,2,14,2,minor,network,yes,yes,east,legit
20.98,2,61,0,8,0,moderate,network,no,no,south,legit
33.35,7,119,0,13,2,minor,outside,yes,yes,west,fraud
10.81,5,114,1,7,4,moderate,outside,no,no,north,legit
20.79,6,117,0,1,1,minor,network,yes,no,east,legit
30.66,7,103,2,10,3,moderate,outside,yes,no,north,fraud
10.67,11,68,1,4,3,moderate,outside,yes,no,north,fraud
34.22,10,45,0,3,2,minor,network,yes,no,south,legit
1.81,2,41,2,16,5,moderate,network,yes,no,north,fraud
18.38,13,19,0,4,5,minor,outside,no,no,west,fraud
14.74,10,89,3,17,0,minor,network,yes,no,north,legit
16.4,10,92,1,0,2,major,network,yes,no,south,legit
18.53,6,24,2,2,2,moderate,network,yes,no,east,legit
12.72,6,105,1,2,4,minor,network,yes,no,south,legit
33.01,9,120,1,16,6,moderate,network,no,yes,north,legit
22.23,11,115,0,7,1,moderate,network,no,no,north,legit
14.15,7,45,0,12,3,moderate,outside,yes,no,east,legit
23.62,6,65,0,7,4,minor,network,yes,no,west,fraud
22.64,5,15,1,17,3,major,network,yes,no,south,legit
26.89,6,55,1,8,4,major,network,yes,yes,south,fraud
18.79,10,39,0,0,2,moderate,network,no,yes,east,legit
3.36,11,52,2,8,8,moderate,network,yes,no,east,legit
11.26,10,120,1,8,4,moderate,network,yes,yes,east,legit
25.71,4,42,1,15,3,minor,network,yes,no,south,legit
16.74,6,89,0,5,7,moderate,outside,no,no,north,legit
19.22,5,27,1,6,2,minor,network,yes,no,east,legit
17.87,4,14,0,2,6,moderate,network,yes,no,north,legit
15.66,5,58,0,13,3,moderate,network,yes,no,east,legit
24.32,6,93,0,9,4,minor,network,yes,no,north,fraud
11.34,4,118,0,10,0,minor,network,yes,no,west,legit
6.22,5,6,1,13,4,moderate,outside,no,no,south,fraud
6.8,4,21,1,7,4,minor,outside,yes,no,east,legit
1.57,2,106,0,0,2,moderate,network,yes,yes,south,legit
18.87,5,12,2,4,2,moderate,network,yes,no,south,legit
30.68,8,87,1,9,5,minor,network,no,no,east,legit
13.57,7,101,0,7,3,minor,outside,yes,no,east,legit
17.74,2,112,0,1,4,moderate,network,yes,no,east,legit
14.26,6,51,1,6,3,minor,network,no,yes,west,legit
9.95,7,24,0,11,4,major,network,yes,yes,east,legit
30.27,6,103,1,3,6,moderate,network,yes,no,east,legit
12.21,11,77,0,7,0,major,outside,yes,no,south,legit
3.1,7,39,1,16,5,minor,network,yes,no,west,legit
26.07,6,114,1,11,3,major,outside,yes,no,north,legit
17.93,9,36,0,14,2,minor,network,yes,no,south,legit
20.55,8,38,0,2,5,minor,network,yes,no,east,legit
24.43,7,3,1,6,3,moderate,network,yes,no,west,legit
15.52,2,112,1,3,4,minor,network,yes,no,north,legit
17.07,8,32,0,8,2,moderate,network,yes,no,north,legit
6.48,8,29,1,17,2,major,network,yes,no,south,fraud
14.06,8,109,2,15,4,minor,network,no,yes,east,legit
8.04,2,40,2,6,4,minor,network,no,yes,south,legit
27.13,7,80,0,3,3,minor,network,yes,no,north,legit
16.93,6,112,1,2,2,minor,outside,yes,no,north,legit
16.82,7,54,0,7,3,moderate,outside,no,no,east,legit
22.3,7,60,1,2,7,moderate,outside,yes,no,north,legit
16.57,11,94,2,9,4,moderate,network,yes,no,west,legit
36.49,8,25,0,8,1,minor,outside,yes,no,west,fraud
26.6,5,32,4,17,1,minor,network,yes,no,north,fraud
14.21,5,27,1,11,4,major,network,yes,no,east,legit
13.82,8,42,0,4,0,minor,network,yes,yes,south,legit
31.72,6,86,0,0,1,minor,network,yes,no,south,legit
22.98,4,94,1,11,4,minor,network,yes,yes,east,fraud
19.89,7,16,1,10,2,moderate,outside,yes,yes,south,fraud
30.2,8,68,0,4,2,moderate,network,yes,yes,south,legit
21.37,5,58,0,10,7,minor,network,yes,no,east,legit
15.89,7,120,0,13,3,major,network,yes,yes,west,legit
0.8,8,17,1,10,4,major,network,yes,no,west,legit
25.63,9,49,1,4,5,moderate,outside,yes,yes,west,legit
26.11,6,106,1,9,1,major,network,yes,no,north,legit
3.25,7,20,3,6,4,minor,network,no,yes,north,legit
5.93,8,106,0,10,2,minor,network,yes,yes,west,legit
19.17,7,92,1,1,3,minor,network,yes,no,east,legit
0.8,6,104,0,11,1,minor,outside,no,no,south,legit
6.83,6,102,1,4,3,moderate,outside,yes,no,south,legit
6.91,7,110,0,10,1,major,network,yes,yes,west,legit
17.5,8,61,2,15,2,major,network,yes,no,south,legit
30.16,8,89,1,5,2,moderate,network,yes,no,west,legit
14.5,4,77,2,4,3,minor,network,yes,no,west,fraud
10.89,6,21,0,14,6,moderate,network,yes,no,east,legit
14.7,10,73,2,1,4,minor,outside,yes,no,north,fraud
33.83,8,62,1,9,3,moderate,network,yes,no,north,legit
17.07,5,10,1,6,3,moderate,outside,yes,no,east,legit
3.47,3,71,4,3,4,moderate,outside,yes,no,east,legit
25.59,2,33,2,13,0,minor,network,yes,no,east,legit
0.8,5,112,1,5,2,moderate,network,no,no,south,legit
3.51,7,60,1,5,4,moderate,network,yes,no,east,legit
19.64,8,71,0,4,5,moderate,network,yes,no,north,fraud
14.83,6,54,0,2,6,minor,network,yes,no,north,legit
21.01,7,106,1,5,4,minor,network,no,yes,east,legit
10.78,7,59,0,1,4,moderate,network,no,no,west,legit
30.34,6,86,1,8,1,moderate,network,yes,no,south,legit
17.47,7,60,1,7,1,moderate,network,yes,no,south,legit
23.21,8,88,0,12,6,minor,network,yes,no,south,legit
13.16,6,103,0,6,5,moderate,network,yes,yes,west,legit
21.69,5,39,1,1,4,minor,outside,yes,yes,east,fraud
17.09,5,103,1,2,4,minor,network,yes,no,west,legit
4.23,5,72,0,2,4,minor,outside,yes,no,south,legit
7.31,8,107,2,5,1,major,network,yes,no,north,legit
9.92,8,23,2,4,5,minor,network,yes,no,south,legit
19.97,8,29,1,2,5,minor,network,yes,no,west,legit
15.16,6,111,0,10,4,minor,network,yes,no,east,legit
10.8,7,101,0,2,4,moderate,network,yes,no,south,legit
11.14,6,105,0,4,3,moderate,network,yes,no,north,legit
27.09,9,109,0,11,3,minor,network,no,no,north,legit
13.46,4,37,0,4,3,minor,network,yes,no,south,legit
29.75,3,97,2,3,4,minor,outside,yes,no,east,legit
22.84,7,88,1,7,1,minor,outside,yes,yes,east,legit
6.23,5,85,3,16,3,minor,outside,yes,no,north,legit
29.38,6,71,1,2,1,minor,network,yes,no,south,legit
21.94,2,39,1,3,7,moderate,network,yes,yes,north,legit
16.35,4,57,1,15,3,minor,network,yes,no,north,legit
19.4,8,22,1,5,1,minor,network,no,no,north,legit
22.77,6,5,0,14,3,minor,network,no,no,south,legit
23.59,4,27,2,11,3,minor,network,no,no,east,fraud
23.47,7,103,0,11,5,minor,network,yes,yes,south,legit
17.77,9,39,2,16,3,moderate,network,yes,yes,north,fraud
17.19,6,39,1,11,3,moderate,outside,yes,no,east,fraud
12.65,7,15,0,6,4,minor,outside,yes,no,south,legit
25.11,4,111,0,16,2,moderate,network,no,no,south,legit
4.95,10,78,0,6,2,major,network,no,no,east,legit
21.55,3,100,0,3,1,minor,outside,yes,no,south,legit
12.07,6,92,3,12,2,major,network,yes,yes,north,legit
15.8,6,13,1,3,4,minor,network,yes,no,east,legit
12.92,8,106,1,14,1,major,outside,no,no,east,legit
20.94,6,17,3,1,5,moderate,outside,no,yes,south,fraud
18.95,10,71,0,1,3,moderate,network,yes,no,east,legit
8.59,10,3,0,3,2,moderate,network,yes,yes,east,legit
19.52,5,92,0,0,3,major,outside,yes,no,west,fraud
10.46,7,42,0,13,2,moderate,outside,yes,no,east,legit
5.0,5,61,1,4,5,minor,outside,yes,yes,west,legit
25.88,8,111,4,16,2,minor,network,yes,yes,west,legit
28.34,7,73,0,17,6,major,network,yes,no,south,legit
0.8,6,61,0,2,4,moderate,network,yes,no,east,legit
18.03,5,81,2,8,2,major,network,yes,no,west,legit
16.94,5,104,2,4,1,minor,network,yes,no,east,legit
25.03,8,54,0,14,4,minor,outside,yes,no,west,fraud
23.65,8,79,0,13,1,minor,network,no,no,north,fraud
26.08,2,48,2,11,1,minor,network,yes,no,east,legit
17.19,8,4,0,14,1,major,outside,yes,no,north,fraud
19.74,6,89,0,14,4,major,network,yes,no,south,legit
29.8,7,19,0,15,3,minor,outside,yes,yes,north,legit
12.61,6,15,2,7,3,minor,network,yes,no,west,fraud
6.28,7,34,1,8,4,moderate,outside,yes,no,north,legit
19.83,7,119,2,2,4,major,network,yes,no,north,legit
15.71,5,52,0,2,6,minor,network,yes,no,east,legit
16.71,4,85,0,13,0,major,network,yes,no,north,legit
22.23,8,95,0,12,3,moderate,network,yes,no,north,legit
18.22,8,82,1,5,1,moderate,outside,yes,yes,south,legit
27.39,6,88,0,16,4,minor,network,yes,yes,south,fraud
40.64,4,79,0,4,2,major,network,yes,no,south,legit
22.14,8,96,0,11,3,minor,network,yes,no,west,legit
16.08,10,5,1,16,3,moderate,outside,no,yes,south,fraud
6.79,5,55,4,8,2,moderate,network,yes,no,north,legit
19.83,11,80,1,5,6,moderate,network,no,no,east,legit
28.55,9,11,0,3,2,moderate,network,yes,yes,north,legit
21.16,3,3,2,6,4,minor,network,yes,no,north,legit
8.88,10,66,1,10,5,minor,outside,yes,yes,south,fraud
27.93,4,101,0,5,4,minor,outside,yes,no,south,fraud
21.73,4,39,0,3,1,minor,outside,no,no,east,legit
29.47,7,73,2,13,4,major,outside,yes,no,west,fraud
30.08,6,19,0,15,3,minor,network,yes,yes,east,legit
23.67,3,116,3,1,2,moderate,network,yes,no,west,legit
22.13,5,73,0,8,4,moderate,network,yes,no,north,legit
23.21,8,31,1,17,2,minor,network,yes,no,north,legit
21.93,5,9,0,16,4,minor,outside,yes,yes,west,fraud
4.7,8,31,2,2,2,minor,network,yes,no,east,legit
8.97,11,66,3,3,3,moderate,network,yes,no,west,legit
