session_duration_min,pages_viewed,past_orders,discount_rate,loyalty_score,traffic_source,membership_tier,device_type,cart_items,order_value
4.33,9,5,0.041,59.9,ads,none,desktop,3,119.41
10.64,10,5,0.039,56.3,ads,silver,desktop,4,133.2
1.0,12,5,0.016,41.1,email,silver,tablet,5,131.61
22.31,5,4,0.095,60.8,social,none,desktop,1,107.23
11.2,8,4,0.134,30.9,email,none,mobile,3,130.07
8.21,6,0,0.0,82.9,email,none,mobile,4,111.07
11.28,11,6,0.093,76.8,organic,none,mobile,3,148.38
9.9,5,4,0.051,81.4,social,none,mobile,8,152.42
15.44,8,4,0.1,81.4,social,silver,mobile,1,144.21
10.58,10,8,0.066,61.6,email,none,mobile,2,133.79
10.94,6,2,0.056,73.1,social,gold,mobile,4,138.59
14.25,8,3,0.085,87.3,email,silver,mobile,3,125.8
17.36,16,5,0.13,48.8,ads,gold,mobile,3,165.02
20.84,5,1,0.109,60.6,email,none,mobile,7,153.1
4.77,9,10,0.128,23.1,ads,none,desktop,5,131.3
11.39,10,5,0.127,62.0,organic,silver,mobile,6,117.18
5.48,5,4,0.149,48.1,email,none,mobile,3,97.03
16.04,6,5,0.115,56.6,ads,none,mobile,3,129.76
11.03,13,4,0.216,46.6,ads,none,mobile,3,128.96
14.99,3,8,0.05,68.3,organic,silver,mobile,5,125.19
16.46,7,2,0.156,50.9,organic,none,mobile,3,114.54
12.35,5,3,0.107,71.3,ads,none,desktop,3,122.59
8.71,8,3,0.076,48.8,social,silver,mobile,6,136.55
11.02,5,8,0.027,50.8,email,none,desktop,5,119.53
8.06,10,8,0.119,62.8,social,silver,tablet,1,137.38
12.26,7,3,0.169,54.5,organic,gold,desktop,5,140.29
4.36,6,4,0.097,77.6,email,none,desktop,2,104.81
16.15,10,6,0.167,47.8,organic,gold,mobile,6,163.42
8.72,8,7,0.053,65.2,social,none,mobile,2,126.83
5.9,4,5,0.09,69.9,ads,silver,mobile,7,121.82
18.56,8,3,0.088,65.3,organic,gold,desktop,6,164.78
12.79,9,3,0.093,80.8,social,silver,desktop,6,147.03
12.67,13,1,0.212,100.0,ads,silver,mobile,2,175.18
12.17,10,6,0.107,86.6,organic,silver,mobile,3,139.48
14.54,15,4,0.109,54.7,organic,silver,mobile,5,168.0
10.73,12,5,0.073,51.5,social,silver,desktop,5,148.9
9.41,9,3,0.103,88.3,email,none,desktop,1,109.4
13.65,10,7,0.103,44.8,email,none,mobile,2,131.08
13.03,6,6,0.05,86.0,email,none,mobile,3,132.66
8.76,6,3,0.101,46.7,organic,silver,tablet,3,88.36
6.3,13,2,0.016,57.5,social,none,desktop,3,108.72
11.14,11,6,0.086,65.7,email,none,mobile,4,151.3
9.85,11,6,0.062,76.5,organic,silver,mobile,5,145.37
7.29,12,7,0.025,83.8,social,none,tablet,3,137.05
9.39,14,5,0.219,63.2,ads,silver,tablet,3,160.66
13.57,11,3,0.153,69.8,ads,silver,mobile,2,151.12
10.31,12,3,0.092,54.3,ads,gold,tablet,3,153.31
7.76,10,3,0.09,62.9,email,silver,mobile,5,138.08
13.93,17,7,0.02,51.7,ads,none,mobile,2,139.94
4.52,7,2,0.077,99.2,email,none,desktop,7,149.8
13.41,12,3,0.054,64.6,organic,silver,desktop,4,137.18
18.18,10,9,0.12,36.6,email,none,mobile,5,137.07
7.35,13,3,0.099,46.9,ads,none,mobile,6,163.01
11.28,6,5,0.102,100.0,email,none,mobile,3,162.01
17.13,6,6,0.053,52.8,ads,silver,mobile,7,157.5
7.02,10,4,0.09,44.4,ads,silver,mobile,4,121.18
12.82,6,5,0.027,74.1,organic,gold,desktop,6,144.71
12.86,14,2,0.0,28.6,organic,silver,desktop,8,146.75
3.86,5,9,0.109,53.5,organic,none,mobile,7,111.12
8.65,14,5,0.035,58.3,organic,gold,mobile,2,143.06
5.47,9,4,0.051,77.2,email,silver,tablet,4,121.38
14.48,7,8,0.188,64.2,social,gold,mobile,5,180.06
8.21,12,7,0.038,45.6,ads,silver,desktop,4,127.83
4.4,10,2,0.159,45.4,social,none,mobile,3,116.23
11.66,10,5,0.008,55.3,organic,none,mobile,4,111.98
25.83,11,3,0.088,46.6,social,gold,desktop,2,138.18
18.75,11,3,0.125,69.9,ads,silver,desktop,2,159.46
7.07,14,4,0.0,62.8,ads,none,mobile,4,121.26
13.77,8,5,0.117,94.4,social,none,tablet,5,141.25
15.96,8,4,0.106,74.5,social,silver,desktop,2,123.14
7.96,8,6,0.064,64.3,organic,none,desktop,4,130.27
11.05,13,6,0.097,56.2,email,none,desktop,3,128.38
10.17,10,3,0.052,85.2,ads,silver,desktop,4,126.16
12.26,12,5,0.162,26.4,ads,gold,mobile,5,159.8
14.92,15,0,0.1,53.5,organic,silver,mobile,4,143.84
19.68,13,6,0.032,74.9,organic,none,mobile,5,166.98
15.37,13,4,0.039,81.5,organic,gold,tablet,3,165.41
18.03,12,4,0.12,53.5,social,silver,mobile,2,159.95
3.65,11,7,0.124,44.3,organic,silver,mobile,4,146.69
9.9,6,4,0.062,77.0,ads,none,mobile,4,128.4
12.11,8,4,0.087,81.3,organic,silver,mobile,3,137.17
12.19,8,4,0.057,76.1,social,none,mobile,4,138.61
17.04,11,5,0.134,67.8,organic,none,mobile,1,156.47
16.37,10,3,0.093,42.8,email,none,desktop,3,112.34
10.19,9,5,0.083,66.8,organic,none,desktop,10,139.82
19.47,11,6,0.153,56.3,ads,silver,mobile,7,182.8
14.6,13,4,0.157,85.6,organic,silver,desktop,6,179.15
14.39,16,7,0.007,84.0,organic,none,desktop,2,176.65
9.02,12,2,0.127,67.5,social,silver,mobile,4,154.24
8.06,8,6,0.087,73.6,organic,none,mobile,5,127.02
1.2,14,3,0.025,55.2,ads,none,mobile,5,112.48
9.94,7,2,0.031,56.3,social,gold,mobile,3,120.03
15.62,15,5,0.114,69.2,ads,none,desktop,6,163.25
9.32,11,3,0.076,39.9,ads,none,mobile,4,116.08
8.99,10,7,0.056,41.5,organic,none,mobile,4,148.59
8.01,13,4,0.005,33.8,ads,none,mobile,6,141.14
2.22,6,2,0.004,38.0,email,gold,mobile,7,120.68
9.21,12,3,0.026,72.6,organic,gold,mobile,2,134.2
15.05,5,6,0.0,75.9,ads,none,mobile,7,117.51
12.65,11,2,0.0,100.0,social,gold,tablet,5,158.06
6.44,7,4,0.132,69.5,organic,none,mobile,9,144.85
6.5,11,7,0.086,65.7,ads,none,mobile,2,109.56
19.31,11,2,0.071,74.4,email,silver,mobile,7,171.22
7.41,8,3,0.053,50.2,ads,gold,desktop,7,137.42
13.39,9,3,0.164,66.1,email,none,desktop,5,132.3
16.78,14,3,0.127,47.2,organic,silver,tablet,5,139.39
22.31,11,2,0.047,47.4,ads,silver,mobile,3,143.48
12.04,13,6,0.165,38.2,ads,gold,mobile,1,151.99
15.14,7,3,0.081,69.5,social,silver,desktop,3,141.79
12.92,12,8,0.072,49.3,social,silver,mobile,1,134.35
17.96,6,5,0.14,34.9,organic,silver,mobile,4,137.9
16.57,10,6,0.028,44.2,email,silver,mobile,4,145.98
9.32,13,1,0.097,57.6,organic,none,mobile,2,128.93
1.0,12,7,0.066,43.6,social,silver,desktop,4,123.01
12.69,10,3,0.073,97.5,social,silver,desktop,6,154.95
13.72,7,3,0.079,49.6,social,none,desktop,7,112.11
10.44,11,4,0.06,71.4,organic,none,tablet,7,160.03
4.46,6,3,0.167,72.3,organic,silver,desktop,4,134.27
9.14,11,4,0.095,100.0,social,none,mobile,4,169.78
7.05,11,2,0.15,47.7,ads,none,mobile,4,106.84
15.29,19,9,0.191,49.2,organic,none,mobile,4,173.8
18.62,7,4,0.073,64.6,social,none,mobile,8,168.84
17.86,8,2,0.197,32.2,ads,silver,mobile,4,125.27
12.56,10,1,0.129,45.6,organic,silver,mobile,1,102.87
11.01,6,6,0.085,69.5,organic,none,tablet,4,121.94
14.61,8,6,0.126,61.1,ads,silver,mobile,2,116.61
19.33,14,5,0.164,67.5,organic,none,mobile,3,158.88
7.75,13,1,0.048,45.3,organic,none,tablet,5,126.42
8.09,8,3,0.084,65.1,ads,none,mobile,4,101.77
4.5,4,6,0.046,84.2,ads,silver,mobile,5,129.54
15.0,12,5,0.115,58.4,social,silver,mobile,4,141.54
20.58,15,7,0.045,75.8,organic,gold,desktop,8,198.84
8.72,6,6,0.144,46.3,organic,none,mobile,5,119.29
16.06,18,3,0.16,74.8,email,silver,desktop,5,164.64
8.13,6,4,0.048,74.5,social,silver,mobile,6,127.58
10.12,7,6,0.067,52.4,social,silver,mobile,4,119.44
5.93,12,3,0.094,62.3,email,gold,tablet,4,165.78
14.69,15,7,0.189,79.0,organic,silver,tablet,6,203.34
15.7,8,2,0.152,49.2,ads,gold,mobile,3,129.77
7.95,14,8,0.127,56.6,social,none,desktop,6,176.94
3.33,8,7,0.091,57.1,organic,none,mobile,7,128.22
16.74,9,7,0.037,84.8,organic,silver,mobile,4,176.35
7.28,9,3,0.115,83.6,email,gold,mobile,5,142.92
28.84,11,6,0.09,45.5,social,none,mobile,5,178.4
14.96,10,3,0.073,76.6,ads,silver,mobile,3,139.74
5.07,7,3,0.113,20.9,ads,silver,mobile,2,85.41
16.09,7,3,0.018,59.4,ads,silver,desktop,2,118.11
8.77,12,5,0.044,49.7,ads,silver,mobile,5,141.83
13.98,8,9,0.164,80.1,ads,none,mobile,4,153.84
17.15,9,1,0.047,30.3,organic,none,mobile,10,144.17
1.08,3,5,0.084,51.2,ads,gold,mobile,5,138.5
13.54,15,6,0.086,16.5,email,silver,desktop,3,157.82
6.65,4,3,0.071,68.3,organic,none,mobile,5,108.5
4.54,11,6,0.021,100.0,email,none,mobile,4,139.58
15.67,8,4,0.036,46.4,organic,none,tablet,4,140.66
1.33,9,5,0.119,42.5,organic,none,desktop,3,117.32
5.71,12,6,0.165,73.6,ads,none,mobile,4,139.76
11.77,9,2,0.104,98.3,organic,gold,mobile,3,122.34
6.06,13,5,0.177,81.5,social,silver,desktop,7,181.02
6.67,10,6,0.023,87.5,organic,gold,mobile,5,163.03
5.94,10,5,0.102,75.3,organic,none,desktop,5,123.98
13.59,13,4,0.079,52.1,social,silver,mobile,4,150.48
9.15,9,8,0.08,42.5,social,silver,desktop,4,124.82
9.89,12,3,0.113,16.1,organic,none,mobile,4,109.47
9.15,8,6,0.06,74.3,organic,silver,desktop,5,157.15
19.81,13,4,0.027,91.1,organic,none,mobile,3,157.5
13.94,9,8,0.021,60.7,ads,gold,desktop,3,118.7
21.45,9,4,0.063,53.8,ads,none,mobile,4,135.9
11.12,12,5,0.045,69.4,ads,none,desktop,5,140.17
1.0,8,4,0.018,39.0,email,none,mobile,8,127.08
14.08,9,4,0.142,53.8,social,none,tablet,5,157.15
10.88,13,4,0.044,82.6,organic,none,mobile,4,156.82
14.87,7,2,0.076,82.6,email,none,desktop,3,134.61
10.53,11,5,0.059,25.1,email,gold,mobile,3,122.53
7.72,12,7,0.062,53.0,organic,silver,mobile,4,148.41
26.86,8,4,0.048,33.7,social,gold,tablet,5,143.08
8.56,9,2,0.124,68.0,ads,gold,mobile,1,122.03
15.19,14,5,0.117,55.6,social,silver,desktop,6,181.37
13.9,12,2,0.027,52.8,ads,none,mobile,5,128.01
16.17,15,3,0.061,76.1,social,gold,mobile,4,172.43
9.95,9,6,0.064,60.6,organic,none,mobile,6,137.61
19.52,9,5,0.049,80.0,email,none,mobile,8,158.85
6.92,5,6,0.027,77.4,social,silver,desktop,4,110.49
10.79,6,9,0.019,64.9,organic,silver,mobile,4,133.28
18.69,13,5,0.117,32.7,organic,silver,mobile,4,152.03
11.67,10,3,0.129,85.7,ads,silver,mobile,2,130.97
9.8,13,6,0.161,69.2,social,silver,tablet,2,161.05
10.57,7,3,0.076,55.9,organic,silver,desktop,3,104.16
13.03,10,4,0.048,66.2,email,silver,mobile,5,148.84
7.29,9,5,0.075,49.6,organic,none,tablet,3,133.59
10.4,11,3,0.14,58.0,ads,gold,desktop,3,140.96
18.25,7,2,0.08,91.3,social,silver,mobile,4,150.18
26.11,9,4,0.008,50.6,social,none,tablet,4,128.08
4.88,9,10,0.14,56.4,organic,none,desktop,7,168.55
5.76,9,4,0.072,56.8,organic,silver,desktop,3,113.02
5.47,9,3,0.136,66.0,email,none,mobile,7,153.32
16.47,13,3,0.108,47.4,organic,none,mobile,3,138.25
14.44,11,4,0.058,73.7,ads,silver,mobile,3,143.2
8.94,10,3,0.015,60.8,email,none,mobile,4,142.1
20.87,8,2,0.034,86.5,social,silver,mobile,6,169.04
9.27,7,2,0.161,62.5,organic,silver,mobile,5,121.41
13.65,13,4,0.075,63.4,ads,silver,desktop,9,165.02
4.78,11,2,0.14,57.2,ads,none,mobile,2,118.94
18.45,8,8,0.164,66.6,ads,none,mobile,5,180.21
10.19,10,5,0.103,64.2,ads,gold,mobile,1,138.46
14.23,14,8,0.047,51.9,social,none,mobile,4,145.64
7.35,6,4,0.106,70.6,ads,none,tablet,5,137.2
16.07,12,12,0.057,71.5,ads,silver,mobile,6,182.84
9.15,13,7,0.0,100.0,organic,none,mobile,4,140.39
20.59,12,4,0.019,41.6,social,silver,desktop,3,117.25
10.42,8,4,0.058,78.4,organic,none,mobile,1,99.17
14.2,12,5,0.133,65.9,social,silver,mobile,4,177.65
8.9,7,3,0.078,78.3,social,gold,tablet,4,146.32
5.73,11,1,0.102,77.1,email,gold,mobile,4,155.55
9.6,12,3,0.105,100.0,email,none,desktop,1,131.88
12.0,11,3,0.197,51.4,organic,silver,mobile,2,136.03
10.84,15,4,0.089,44.4,ads,silver,mobile,5,133.51
19.22,8,1,0.098,64.0,social,none,mobile,3,131.98
20.18,10,4,0.079,45.9,social,none,desktop,6,152.63
15.92,11,5,0.019,67.3,email,silver,mobile,4,145.29
10.78,9,4,0.083,51.9,organic,silver,desktop,5,148.82
13.89,14,1,0.051,58.2,organic,none,mobile,6,137.9
15.57,12,6,0.098,64.9,ads,none,desktop,2,116.11
19.64,14,5,0.017,56.2,ads,none,mobile,6,151.82
10.3,17,5,0.077,41.9,ads,silver,mobile,3,165.18
8.62,10,7,0.174,82.4,ads,none,mobile,3,140.03
8.25,7,3,0.051,44.4,organic,none,desktop,2,84.14
13.31,12,5,0.181,53.7,ads,none,mobile,8,162.68
7.19,6,3,0.099,69.2,ads,none,desktop,4,109.96
6.38,9,8,0.175,40.2,organic,none,desktop,3,133.81
11.2,11,4,0.007,38.5,ads,none,mobile,4,118.93
17.46,6,7,0.132,65.4,email,none,mobile,5,155.51
14.04,13,6,0.095,33.8,social,none,mobile,6,126.44
16.43,12,6,0.137,71.0,social,silver,mobile,5,179.29
14.4,4,3,0.069,77.0,organic,none,mobile,4,141.38
4.38,7,4,0.107,89.9,social,none,mobile,5,143.2
3.24,10,3,0.009,91.1,social,silver,tablet,3,107.9
5.28,10,6,0.139,68.3,social,none,mobile,4,128.75
8.28,16,1,0.11,48.0,email,silver,mobile,3,125.49
10.81,15,3,0.012,79.1,ads,none,mobile,3,124.05
9.92,15,2,0.155,54.6,ads,silver,mobile,2,152.51
13.75,10,1,0.114,50.7,email,silver,mobile,4,117.32
21.13,13,6,0.161,63.7,email,gold,mobile,4,181.09
8.84,15,3,0.039,47.9,ads,silver,mobile,2,141.74
14.76,11,3,0.071,54.7,ads,none,mobile,4,119.51
7.33,6,4,0.16,89.7,ads,none,desktop,5,118.22
10.83,5,7,0.1,53.0,organic,none,desktop,3,127.63
7.5,10,2,0.085,31.0,ads,gold,desktop,4,122.72
15.71,8,4,0.122,56.8,ads,gold,mobile,2,153.25
1.0,5,4,0.094,66.6,organic,none,mobile,2,90.37
16.08,11,3,0.012,66.7,organic,gold,mobile,4,159.03
15.89,8,5,0.014,88.7,social,gold,desktop,4,127.71
9.0,10,4,0.069,61.4,ads,none,mobile,8,149.38
15.42,18,5,0.068,35.0,organic,silver,mobile,6,165.3
6.09,8,3,0.091,85.3,organic,none,desktop,2,126.12
17.81,7,6,0.115,66.0,email,silver,mobile,3,156.94
4.69,10,2,0.146,48.4,organic,gold,mobile,7,139.34
16.69,6,2,0.059,57.6,organic,none,desktop,6,141.12
10.57,11,6,0.079,77.2,ads,gold,desktop,5,176.77
8.95,8,2,0.0,81.3,organic,none,desktop,7,116.94
1.54,16,3,0.083,81.7,email,none,mobile,4,167.47
9.96,13,6,0.156,56.6,social,none,mobile,3,153.1
12.81,8,3,0.147,80.7,email,silver,mobile,5,170.21
19.72,9,3,0.091,54.1,ads,none,mobile,3,146.05
8.41,10,4,0.112,54.0,organic,silver,mobile,5,154.64
16.02,12,7,0.191,77.2,organic,silver,mobile,4,171.6
10.11,12,2,0.051,56.2,organic,none,mobile,3,120.28
17.49,9,2,0.067,12.4,organic,silver,tablet,3,106.63
20.02,8,4,0.031,47.9,ads,silver,mobile,2,137.87
14.03,15,4,0.139,53.2,ads,none,mobile,3,138.13
17.48,7,6,0.012,42.1,ads,silver,desktop,4,135.21
14.13,7,6,0.007,87.0,organic,silver,mobile,7,169.77
9.1,12,3,0.081,50.6,social,none,desktop,3,125.5
9.6,12,4,0.111,23.8,ads,none,tablet,4,107.45
13.67,11,2,0.069,65.6,email,none,desktop,2,122.23
17.33,12,5,0.095,12.6,organic,gold,mobile,6,150.06
13.66,10,5,0.148,86.8,organic,none,mobile,4,174.71
9.67,5,2,0.013,62.7,organic,silver,desktop,7,131.72
14.44,8,7,0.174,66.4,organic,none,mobile,1,139.12
14.32,6,2,0.086,36.0,email,silver,mobile,6,151.49
14.46,4,9,0.016,48.6,organic,none,tablet,3,121.7
6.84,7,6,0.092,58.9,social,none,desktop,6,120.58
12.58,9,3,0.195,33.6,organic,silver,mobile,5,154.56
7.85,13,4,0.015,62.0,organic,none,mobile,5,135.64
18.65,12,7,0.14,50.3,ads,none,mobile,6,173.76
22.26,9,7,0.0,68.6,ads,gold,desktop,3,162.81
11.43,8,7,0.096,16.6,social,gold,tablet,3,149.11
5.54,8,2,0.166,14.6,organic,gold,mobile,3,113.45
25.47,8,5,0.115,62.8,email,silver,mobile,5,177.36
13.9,16,6,0.089,65.3,organic,silver,desktop,6,175.03
3.01,14,2,0.038,45.0,organic,none,mobile,4,109.02
1.0,9,8,0.08,65.8,organic,silver,mobile,2,112.12
8.74,14,5,0.054,63.6,ads,gold,mobile,3,147.67
12.49,13,3,0.023,30.9,ads,none,mobile,6,128.22
11.5,10,6,0.106,70.9,ads,silver,desktop,4,138.21
6.38,12,7,0.163,89.1,organic,none,tablet,4,160.23
10.28,12,5,0.14,66.7,organic,none,mobile,5,150.06
7.82,18,3,0.044,51.7,organic,silver,mobile,6,150.91
3.54,7,9,0.159,57.7,organic,silver,desktop,3,141.14
16.69,11,7,0.136,74.7,organic,gold,mobile,4,165.4
10.23,11,7,0.059,26.1,ads,silver,mobile,5,159.93
19.02,10,4,0.086,58.9,social,none,desktop,5,163.64
19.46,12,2,0.136,61.7,organic,silver,desktop,2,148.4
22.11,5,8,0.107,76.7,ads,silver,desktop,7,187.65
13.9,5,4,0.087,69.7,social,none,tablet,4,107.95
11.3,7,4,0.074,83.1,organic,none,tablet,4,119.17
1.0,10,2,0.071,48.6,email,none,mobile,4,84.25
5.96,16,3,0.059,60.2,ads,silver,desktop,6,129.68
3.53,7,3,0.0,74.2,organic,gold,desktop,2,118.24
9.56,6,3,0.022,66.8,ads,none,desktop,6,114.6
10.7,7,2,0.033,93.2,social,silver,desktop,5,124.29
5.61,13,7,0.029,72.3,email,gold,desktop,6,164.25
21.53,15,1,0.107,52.0,email,silver,mobile,9,188.94
1.71,12,3,0.136,56.0,organic,none,mobile,2,120.28
9.47,12,2,0.04,44.7,ads,none,mobile,4,116.08
19.22,12,5,0.085,69.4,social,silver,mobile,8,180.11
23.59,10,5,0.127,79.3,organic,none,desktop,7,191.82
20.86,8,4,0.065,57.4,organic,silver,mobile,9,179.81
2.56,13,9,0.144,100.0,email,gold,mobile,5,183.32
15.44,12,5,0.137,54.1,email,none,mobile,6,163.59
17.2,7,3,0.027,77.7,organic,gold,mobile,5,156.56
13.3,11,5,0.16,54.8,email,silver,desktop,5,171.46
4.16,9,6,0.0,84.8,organic,silver,mobile,4,146.4
4.48,10,1,0.124,73.7,organic,none,desktop,9,145.75
11.57,8,6,0.028,44.2,social,none,desktop,4,111.87
5.2,10,4,0.054,48.4,ads,silver,desktop,5,123.53
20.61,7,7,0.101,5.0,ads,silver,mobile,2,103.71
14.4,6,6,0.017,70.2,ads,none,mobile,4,95.58
8.13,11,8,0.039,34.8,email,silver,mobile,2,127.34
14.72,10,5,0.12,50.8,email,gold,desktop,4,153.76
13.31,16,7,0.064,70.5,email,none,mobile,5,170.55
16.84,9,3,0.131,56.7,social,none,mobile,5,123.3
9.93,7,6,0.135,47.6,social,silver,mobile,3,139.69
2.65,7,6,0.105,32.6,organic,none,mobile,5,108.81
19.85,5,3,0.019,100.0,organic,none,mobile,6,130.23
13.77,11,6,0.081,55.6,ads,silver,tablet,9,178.37
13.71,7,6,0.072,54.2,social,none,mobile,1,119.95
14.82,9,1,0.144,22.7,social,none,desktop,3,99.78
12.2,8,7,0.141,83.9,organic,none,mobile,6,159.58
15.59,13,4,0.146,70.8,organic,none,mobile,3,172.05
9.59,14,2,0.077,54.4,ads,silver,mobile,4,144.75
14.57,12,6,0.046,77.9,organic,none,desktop,5,158.52
10.39,17,2,0.105,34.8,email,none,desktop,4,123.64
3.8,10,4,0.103,54.5,email,silver,mobile,6,133.22
4.1,15,4,0.052,49.2,email,none,mobile,6,168.26
7.84,10,14,0.17,66.0,organic,silver,mobile,4,165.83
7.7,14,6,0.072,93.6,ads,silver,mobile,3,146.71
16.08,9,4,0.16,78.0,ads,none,desktop,4,145.56
19.72,12,5,0.015,48.6,social,none,mobile,3,120.04
13.14,8,3,0.21,72.2,organic,none,mobile,5,151.27
11.51,10,6,0.158,50.8,ads,silver,desktop,5,146.77
18.4,9,2,0.085,70.7,social,gold,tablet,5,141.92
4.34,14,3,0.017,49.8,organic,none,mobile,6,133.15
8.51,8,2,0.124,71.5,social,gold,tablet,3,147.58
16.1,14,5,0.061,70.1,organic,silver,desktop,8,167.74
17.26,4,6,0.128,59.7,organic,gold,desktop,4,152.43
14.18,8,4,0.119,56.6,social,none,mobile,6,150.73
8.63,12,3,0.057,58.3,ads,silver,desktop,3,115.25
9.16,8,4,0.078,66.9,organic,silver,desktop,3,120.57
1.03,11,8,0.027,76.0,email,silver,desktop,3,115.37
7.88,15,4,0.12,45.8,ads,none,mobile,4,133.01
3.97,16,5,0.09,51.7,organic,gold,tablet,5,163.87
7.7,6,6,0.047,45.5,social,gold,mobile,3,121.68
15.06,10,4,0.122,83.1,organic,none,mobile,3,137.3
17.05,7,6,0.007,52.9,social,silver,mobile,3,138.9
6.86,8,4,0.121,52.7,ads,silver,mobile,2,130.66
13.45,14,6,0.12,65.2,organic,silver,mobile,3,158.59
16.56,14,3,0.184,77.2,email,none,mobile,5,177.22
5.41,15,0,0.133,58.7,social,none,mobile,4,129.59
13.59,9,5,0.1,56.8,organic,gold,mobile,2,153.27
16.79,7,1,0.023,46.3,social,none,mobile,1,111.48
12.03,9,5,0.107,38.6,organic,none,desktop,10,159.89
7.27,16,6,0.123,57.5,social,silver,mobile,5,172.12
9.81,9,4,0.113,22.9,ads,silver,desktop,9,142.17
2.4,12,4,0.074,52.1,organic,none,mobile,8,129.48
11.76,12,4,0.17,76.4,organic,none,mobile,1,119.34
11.93,9,1,0.136,49.7,email,silver,mobile,5,139.6
7.47,9,6,0.105,70.4,social,silver,mobile,2,115.69
3.98,13,3,0.09,73.4,social,silver,mobile,4,132.94
16.72,15,6,0.117,70.3,email,gold,mobile,4,190.54
19.2,7,5,0.038,52.6,organic,silver,desktop,3,143.19
5.96,12,4,0.244,100.0,email,gold,mobile,4,197.16
10.07,9,4,0.101,49.5,organic,none,mobile,7,154.43
13.77,8,2,0.097,43.5,social,none,mobile,4,134.89
9.74,12,4,0.163,70.1,ads,none,tablet,1,137.82
7.9,8,7,0.109,36.9,ads,silver,mobile,5,113.67
4.39,14,4,0.074,62.6,organic,silver,mobile,5,142.36
11.9,8,3,0.043,18.0,ads,silver,mobile,3,123.09
5.42,12,5,0.087,56.1,organic,none,tablet,5,144.99
22.49,9,4,0.067,44.2,social,none,mobile,6,151.21
16.26,8,6,0.106,68.4,email,none,desktop,6,152.13
9.24,9,6,0.13,70.2,email,silver,mobile,4,145.36
19.13,15,9,0.123,38.7,ads,gold,desktop,3,194.45
12.52,7,2,0.15,52.3,organic,gold,mobile,5,134.76
13.0,8,5,0.098,60.9,organic,silver,mobile,4,146.05
8.63,8,5,0.068,49.3,email,none,mobile,3,115.35
12.8,9,3,0.064,60.5,ads,none,mobile,4,132.35
5.25,9,6,0.089,82.8,ads,silver,mobile,5,133.82
6.6,5,3,0.054,70.4,social,none,mobile,3,102.08
25.01,10,4,0.141,38.3,email,none,mobile,3,152.44
12.69,6,4,0.154,33.8,organic,none,mobile,5,121.71
4.0,8,3,0.097,72.9,social,silver,desktop,2,112.06
15.08,12,4,0.077,45.0,social,none,desktop,5,136.67
6.83,11,5,0.083,64.2,organic,none,mobile,4,127.24
4.38,11,5,0.088,33.8,email,gold,mobile,6,176.83
1.76,10,5,0.056,48.3,organic,gold,desktop,5,119.87
6.07,12,5,0.09,80.0,ads,none,mobile,2,129.98
14.08,15,8,0.152,47.8,ads,gold,mobile,8,189.29
6.92,11,6,0.105,56.0,organic,gold,desktop,9,192.51
16.93,14,4,0.102,58.4,email,none,mobile,2,137.07
15.58,5,6,0.082,73.3,social,gold,mobile,1,144.86
15.22,12,2,0.133,46.4,organic,none,mobile,2,134.2
10.55,14,7,0.035,50.7,organic,silver,mobile,9,154.48
7.51,10,5,0.103,100.0,social,none,tablet,7,163.14
13.44,4,3,0.1,74.2,organic,none,mobile,4,121.76
2.64,15,2,0.085,28.2,email,silver,mobile,11,171.18
15.19,10,3,0.101,88.4,organic,none,desktop,3,143.21
12.3,12,2,0.071,74.0,organic,none,desktop,3,131.29
14.38,14,8,0.0,58.1,ads,silver,desktop,4,175.38
20.92,13,6,0.151,32.4,organic,silver,mobile,1,143.68
20.45,6,6,0.118,72.2,organic,none,tablet,4,153.25
8.76,15,7,0.088,73.0,ads,none,desktop,6,154.24
11.55,11,4,0.063,31.9,ads,silver,mobile,4,146.42
15.61,11,5,0.128,59.3,organic,silver,mobile,7,157.53
11.19,11,3,0.115,56.8,organic,none,desktop,4,126.7
15.96,10,6,0.071,52.5,organic,silver,mobile,3,132.95
4.14,10,2,0.168,38.3,ads,gold,mobile,3,123.6
15.11,9,2,0.065,16.1,organic,none,mobile,1,89.56
15.74,12,4,0.045,57.1,ads,silver,mobile,4,154.6
8.83,12,4,0.104,70.6,email,none,desktop,2,114.89
8.43,7,5,0.076,51.2,organic,none,desktop,3,143.71
10.67,11,4,0.05,79.5,ads,none,mobile,5,107.11
11.95,8,2,0.054,64.6,social,silver,desktop,4,122.43
8.49,8,7,0.2,27.6,organic,silver,desktop,2,136.73
8.67,6,5,0.063,63.0,social,none,desktop,6,118.16
19.07,12,2,0.02,87.5,email,gold,desktop,1,158.41
13.58,7,3,0.074,69.5,email,none,tablet,6,138.45
15.61,12,2,0.115,73.1,social,silver,mobile,4,170.78
15.3,14,5,0.083,37.0,social,gold,mobile,5,160.29
2.04,5,6,0.173,21.7,email,gold,mobile,4,124.58
14.02,24,4,0.047,26.6,email,silver,desktop,6,180.16
13.25,9,4,0.086,43.1,organic,gold,mobile,4,162.23
1.73,14,5,0.058,57.0,ads,silver,mobile,5,116.66
6.97,11,4,0.069,60.2,email,silver,mobile,3,135.38
3.18,7,3,0.009,42.3,ads,none,mobile,6,109.29
16.92,10,4,0.009,64.1,ads,gold,tablet,2,143.15
14.16,10,0,0.078,76.8,ads,gold,mobile,6,150.86
